OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Strong I Big HB Off Tackle,4.1,118,,,,1.68,0.136
Singleback Big HB Inside Strong,4.09,707,,,,0.28,0.201
I Formation 3WR Slot Corner Short,4.08,493,3.17,2.41,1.41,1.01,-0.136
Strong I Big HB Swing,4.02,59,3.46,1.69,1.69,,0.658
Singleback Normal Slot WR Cross,3.94,148,-1.54,7.33,9.33,0.67,0.403
Shotgun 5 Wide Slot Cross,3.93,142,0.52,4.9,6.29,1.4,-0.927
Shotgun Normal HB Sweep,3.92,365,,,,,0.076
Goal Line Normal HB Outside Strong,3.91,842,,,,0.58,-0.928
Shotgun 2 RB 3 WR WR Curl,3.9,713,2.46,3.08,1.82,0.7,-0.778
Split Backs 3 Wide Dive Right,3.89,417,,,,0.24,0.279
Singleback 4 Wide WR Crosses,3.88,32,,,6.25,3.12,-0.691
I Formation Normal Curl & Post,3.86,289,1.87,2.76,5.52,0.69,0.145
I Formation Power HB Dive Weak,3.83,286,,,,0.7,-0.169
Shotgun Normal Short Attack,3.76,239,2.3,2.05,4.92,0.41,0.296
Shotgun 5 Wide Middle Curls,3.72,59,,5.0,,1.67,-0.7
I Formation Normal FL Hook,3.71,747,3.26,1.33,1.99,0.53,-0.849
Singleback 4 Wide Post and Drag,3.66,91,0.87,2.2,10.99,1.1,-0.647
Goal Line Normal HB Toss Strong,3.64,937,,,,0.42,-0.545
Split Backs 3 Wide WR Post,3.62,124,1.15,4.0,4.0,0.8,-0.033
Singleback Normal WR Post,3.62,182,1.84,2.72,4.35,,-0.252
Goal Line Normal HB Off Tackle,3.62,905,,,,1.4,-0.867
Singleback Big Off Tackle Strong,3.61,604,,,,,-0.298
Strong I Normal HB Off Tackle Strong,3.59,1384,,,,,-0.019
Shotgun Normal Post Flags,3.55,100,0.26,6.0,2.0,1.0,0.127
I Formation Twin WR Slot Hitch,3.54,104,2.35,2.86,0.95,,0.392
Split Backs Normal Weak Pitch Sweep,3.49,167,,,,,-0.631
I Formation Normal Cross In,3.48,173,3.03,1.72,0.57,,-0.543
Shotgun Normal HB Dive,3.43,518,,,,,0.029
I Formation Big HB Strong,3.43,56,,,,,-0.463
Split Backs 3 Wide Off Tackle Strong,3.42,653,,,,0.3,-0.366
Singleback Slot Strong Overload Strong,3.42,140,-0.44,4.26,9.93,0.71,-0.607
I Formation Normal TE Flag,3.38,146,-0.37,0.67,20.13,,-0.483
I Formation Power HB Sweep Weak,3.35,512,,,,1.35,-0.201
Weak I Normal HB Inside Strong,3.35,548,,,,0.54,-0.547
I Formation Normal PA Outside Curls,3.35,670,0.42,4.13,5.6,0.29,-1.07
Shotgun 2 RB 3 WR FL Drag,3.35,417,1.83,3.57,0.24,0.95,-1.504
Weak I Normal FB Inside Weak,3.34,221,,,,0.45,0.224
I Formation 3WR Outside Curls,3.33,35,-0.44,5.56,5.56,2.78,-0.996
Goal Line Normal HB Pitch Weak,3.33,956,,,,0.61,-0.756
Goal Line Normal PA TE Drag,3.31,770,2.39,2.56,0.26,0.13,-1.143
Shotgun Normal Double Outs,3.27,537,2.01,2.96,0.74,0.92,-0.694
I Formation Normal HB Counter,3.25,429,,,,,-0.141
Goal Line Normal HB Weak,3.25,734,,,,0.81,-1.02
Strong I Normal Counter Strong,3.24,366,,,,,-0.772
Weak I Big Off Tackle Weak,3.23,115,,,,,-0.212
I Formation 3WR Weak Flood,3.22,199,3.47,0.5,0.5,,-0.284
Singleback Normal Hitch Corner,3.12,48,,,2.08,,0.237
Split Backs Normal Strong Pitch Sweep,3.12,67,,,,,0.027
Strong I Big WR Quick In,3.12,118,2.57,1.67,0.83,,0.395
I Formation Twin WR Slot Out,3.12,48,-4.26,6.0,22.0,2.0,0.363
Strong I Normal Quick Hooks,3.07,191,1.94,2.56,1.03,,-0.869
I Formation Normal SE Post,3.04,520,-4.0,3.44,27.92,0.96,-1.031
Singleback Normal Post Corner,3.04,150,-0.49,2.0,14.67,,-0.712
Weak I Normal Fullback Counter Weak,3.03,455,,,,,-0.407
Singleback Big PA Curls,2.99,147,0.88,2.03,7.43,,-1.168
Shotgun 2 RB 3 WR FB In,2.99,601,-0.16,2.66,10.8,0.66,-1.119
I Formation Normal FB Middle,2.98,129,0.66,1.54,10.0,,-0.34
Shotgun Normal Slot Drag,2.98,127,1.39,3.12,1.56,,-0.807
I Formation 3WR SE Post,2.97,662,1.32,3.15,1.8,0.75,-0.883
Shotgun 2 RB 3 WR WR Hooks,2.92,482,1.4,3.1,1.24,0.21,-1.271
Goal Line Normal FB Dive,2.92,59,,,,,0.445
Split Backs Normal Overload Strong,2.88,67,1.67,1.49,4.48,1.49,-1.033
I Formation Power HB Draw,2.81,189,,,,,-1.01
I Formation Normal Strong Flood,2.77,60,0.7,3.28,3.28,,0.345
Singleback Big TE Flat Curl,2.76,138,0.33,1.42,10.64,0.71,-1.747
Shotgun 4 Wide Slot Drag,2.73,61,-0.6,4.84,4.84,,-1.477
Weak I Big HB Off Tackle Strong,2.71,105,,,,,-0.39
Empty 4 Wide Spread Flats,2.62,145,-1.29,6.04,4.03,0.67,-0.737
Goal Line Normal HB Dive,2.56,888,,,,0.44,-0.654
Singleback Slot Strong Skinny Posts,2.52,184,0.43,3.78,1.62,0.54,-0.879
Strong I Normal HB Sweep Strong,2.49,83,,,,,-0.289
I Formation Big HB Outside Weak,2.49,95,,,,,-1.105
Weak I Big HB Counter Weak,2.48,62,,,,,-0.152
Split Backs Normal HB Off Tackle,2.47,64,,,,,0.382
Singleback Slot Strong HB Flat,2.47,89,1.39,2.25,1.12,,0.503
Split Backs 3 Wide Slot Drag,2.38,110,1.59,1.8,0.9,,-0.488
Split Backs 3 Wide Off Tackle Weak,2.36,183,,,,,-0.301
I Formation Twin WR HB Counter Middle,2.33,48,,,,,-0.395
I Formation Normal HB Toss Strong,2.28,145,,,,,-1.412
Singleback Big HB Curls TE Deep,2.23,152,-1.9,4.58,9.15,,-0.842
Shotgun 5 Wide FL Hook,2.14,56,-1.0,5.36,1.79,,-0.838
Weak I Big TE Drag,2.0,78,,2.5,,,-0.131
Strong I Normal HB Power Strong,1.94,113,,,,,-0.636
I Formation 3WR Deep Corner/Post,1.82,39,-6.81,2.5,37.5,,-2.649
I Formation Twin WR HB Toss Strong,1.8,45,,,,,-1.219
I Formation Power Play Action Bomb,1.7,197,-8.76,4.0,42.0,1.0,-1.351
Singleback Big HB Pitch Weak,1.68,159,,,,,-0.642
Strong I Big HB Toss Strong,1.65,39,,,,,-1.059
I Formation 3WR Slot Corner Long,1.61,685,-5.63,4.51,24.27,0.29,-1.621
I Formation Normal PA Streaks,1.56,402,-8.62,3.98,40.55,1.0,-1.934
Shotgun Normal HB Delay,1.54,294,,,,,-1.064
I Formation Normal HB Toss Weak,1.52,128,,,,,-0.339
Singleback Empty 4 TE Drag WR Mix,1.47,47,-1.64,2.13,10.64,,-1.728
Strong I Normal FB Trap Weak,1.38,39,,,,,-1.332
Empty 4 Wide Spread Deep Corner Post,1.36,44,-7.0,4.55,29.55,4.55,-0.314
Singleback Slot Strong Off Tackle Strong,1.34,88,,,,,-0.247
Singleback 4 Wide Clear Center,0.89,35,,,14.29,,-1.981
Split Backs 3 Wide WR2 Deep Post,0.88,71,-7.01,6.94,19.44,,-1.298
Singleback Big Waggle Post,0.83,71,-10.94,4.17,47.22,2.78,-0.337
Singleback Empty 4 Slot Crosses,0.55,85,-9.69,4.71,37.65,1.18,-0.985
Singleback Big WR Streaks,0.01,106,-7.95,2.78,31.48,,-1.605
I Formation 3WR WR Post,-0.5,110,-8.42,5.45,22.73,1.82,-2.134
Shotgun Normal Deep Weak In and Out,-1.09,202,-12.01,5.94,35.64,,-1.845
I Formation 3WR HB Toss Strong,-1.17,475,,,,,-1.608
Strong I Big TE Deep Corner,-1.36,33,-13.15,6.06,39.39,,-0.675
Shotgun 2 RB 3 WR Strong Deep,-1.74,211,-12.61,3.79,41.23,,-1.974
Weak I Normal All Go,-3.02,52,-16.59,1.85,59.26,,-2.087
Strong I Normal PA All Go,-3.48,42,-17.98,4.76,54.76,,-2.38
Shotgun 5 Wide 5 WR All Go,-4.64,39,,,82.05,5.13,-3.018
I Formation Twin WR Hard Slants,8.71,2193,7.79,3.16,3.84,4.61,0.86
Strong I Big TE Post,8.59,1126,6.97,2.99,7.73,4.83,1.219
Strong I Big Backfield Drag,8.38,899,7.93,1.65,5.72,5.39,0.751
I Formation Power Play Action HB Downfield,8.07,3442,6.93,2.97,4.84,3.8,0.403
Shotgun Normal HB Flare,7.96,6668,6.61,2.84,6.2,3.79,0.462
Singleback Normal HB Release Mid,7.81,1428,5.95,4.45,3.76,3.69,0.671
I Formation Normal FL Hitch,7.22,5244,6.92,2.36,1.66,3.41,0.25
I Formation Twin WR Quick Outs,7.13,1378,6.93,2.51,0.57,2.79,0.921
Split Backs Normal Posts,6.95,729,5.98,2.44,4.47,2.57,0.493
Singleback Normal TE Quick Out,6.92,1951,6.21,2.65,2.55,3.46,0.978
I Formation 3WR Slot Short WR Deep,6.81,2662,4.99,3.21,6.34,2.54,0.27
I Formation Power PA Flats,6.42,3030,5.36,2.05,5.54,2.87,0.336
Singleback 4 Wide Quick Outs,6.37,525,5.28,3.18,2.25,2.81,0.706
I Formation 3WR HB Inside Weak,6.32,3088,,,,0.8,0.429
Weak I Normal WR Corner TE Middle,6.31,3715,4.75,2.51,6.61,1.79,0.148
I Formation 3WR WR Out,6.28,2273,5.77,2.53,1.26,1.57,0.567
I Formation 3WR FL Post,6.11,1647,4.42,2.6,6.76,1.27,0.529
Weak I Big WR Post TE Out,6.1,706,3.97,3.1,7.46,2.11,0.628
I Formation Big HB Counter Weak,6.09,111,,,,0.88,1.21
Shotgun 5 Wide Parallel Slants,5.71,588,4.67,3.53,0.34,1.68,0.465
Singleback Normal HB Inside Weak,5.66,2043,,,,0.43,0.862
I Formation 3WR Backfield Flats,5.59,616,4.94,1.29,5.0,1.94,0.219
Singleback Normal PA Rollout,5.53,327,2.38,3.04,12.16,1.52,-0.189
Singleback Big WR Deep,5.49,1316,1.55,4.27,12.43,2.32,0.266
I Formation Normal Max Protect,5.48,2499,3.73,3.05,5.03,1.51,0.144
Singleback Slot Strong HB Checkdown,5.45,324,2.56,3.92,8.13,4.22,0.156
Split Backs 3 Wide WR Quick Out,5.44,1405,4.6,2.61,1.84,1.69,0.395
I Formation 3WR PA Fullback Flat,5.36,874,5.6,1.13,0.79,2.38,-0.183
Singleback Normal HB Dive Weak,5.24,1789,,,,0.44,0.842
Singleback Slot Strong HB Strong Inside,5.2,1165,,,,0.17,0.555
Singleback Slot Strong HB Counter,5.16,1832,,,,0.86,0.156
Singleback Normal HB Dive Strong,5.14,1305,,,,0.3,0.869
Singleback Normal Quick Slant,5.14,414,3.94,1.66,6.16,2.13,0.422
Singleback Normal HB Counter Weak,5.1,2183,,,,0.59,0.83
Split Backs 3 Wide Slot Post,5.09,707,3.15,2.37,7.68,1.54,0.418
Split Backs 3 Wide Drag In,5.08,331,4.29,1.51,4.53,0.6,-0.249
Singleback Normal WR Quick In,5.07,793,4.24,2.61,1.37,1.49,0.473
Weak I Normal HB Inside Weak,5.01,3323,,,,1.32,0.217
Singleback Big Ins and Outs,5.0,945,4.35,2.4,1.04,1.25,0.216
Weak I Normal Skinny Posts,5.0,2041,4.22,2.67,0.87,2.14,-0.615
I Formation Normal HB Blast,4.93,4030,,,,0.92,0.188
I Formation Normal HB Dive,4.84,3507,,,,0.87,0.259
Shotgun 2 RB 3 WR RB Curls,4.84,932,2.73,4.43,2.11,1.16,-0.955
Split Backs 3 Wide Dive Left,4.77,1145,,,,0.09,0.527
I Formation Normal PA Fullback Flat,4.74,2692,4.37,1.83,1.1,1.72,-0.413
I Formation Big TE Sneak Out,4.69,192,,1.55,,1.04,0.067
Shotgun Normal TE Out,4.66,1010,3.22,3.43,1.57,0.39,-0.045
Empty 4 Wide Spread Corner Post,4.6,270,0.08,6.99,6.25,1.47,-0.377
Singleback Normal FL Post,4.6,792,1.99,2.88,9.01,1.13,0.5
Strong I Big HB Dive Strong,4.55,288,,,,0.68,1.105
Shotgun Normal FL Slant,4.54,518,3.11,2.3,4.79,2.49,0.084
Singleback Normal Slot WR Cross,4.54,253,1.78,2.73,10.16,0.78,-0.171
Weak I Big Off Tackle Weak,4.54,187,,,,2.62,0.2
Split Backs Normal WR Post,4.53,282,1.8,3.15,8.74,1.75,-0.426
Shotgun 5 Wide Slot Drag,4.51,193,3.26,3.08,1.54,1.54,-0.526
I Formation 3WR HB Inside Strong,4.5,2376,,,,0.04,0.241
Singleback Empty 4 Short Posts,4.5,284,2.52,4.21,1.75,2.11,-0.811
Weak I Big HB Lead Toss Weak,4.5,334,,,,0.29,0.372
Shotgun 2 RB 3 WR Shotgun Sweep,4.49,2253,,,,0.18,0.4
Singleback Big Corner Ins,4.46,338,1.61,3.22,9.06,0.88,0.162
Weak I Big HB Off Tackle Strong,4.45,148,,,,1.34,-0.182
Singleback Normal Post Corner,4.34,237,0.59,2.52,15.55,2.52,-0.511
Singleback Empty 4 TE Corner,4.34,208,0.92,1.9,15.71,0.95,0.028
I Formation Power HB Strong Outside,4.33,2099,,,,0.7,0.135
Strong I Normal WR Post TE Out,4.31,1296,3.37,1.68,3.98,0.61,-0.131
Strong I Normal HB Dive Strong,4.3,1191,,,,0.82,-0.141
Split Backs Normal Overload Strong,4.25,103,2.58,2.91,3.88,0.97,-0.541
Split Backs Normal Skinny Post Corner,4.25,345,3.55,2.01,1.72,1.72,0.527
Singleback Normal SE Quick Hit,4.11,562,4.05,1.23,0.71,1.06,0.54
Shotgun 2 RB 3 WR Shotgun Dive,4.08,1183,,,,,0.452
Singleback 4 Wide Clear Center,4.08,58,-0.18,3.39,15.25,,-0.767
Split Backs Normal Weak Pitch Sweep,4.05,322,,,,0.91,0.323
Singleback Slot Strong Post Curls,4.05,183,3.99,1.09,1.09,0.54,-0.965
Shotgun 2 RB 3 WR WR Curl,4.04,856,3.27,1.98,1.98,1.4,-0.87
Shotgun 5 Wide Middle Curls,4.01,96,,2.08,,2.08,-0.529
I Formation Normal HB Draw,4.0,1517,,,,,-0.063
Strong I Normal Short Attack,4.0,415,3.33,1.9,1.66,0.71,-0.457
Strong I Big HB Off Tackle,3.94,177,,,,1.1,0.09
Singleback Big HB Inside Strong,3.88,1161,,,,0.25,0.445
I Formation 3WR Slot Corner Short,3.84,628,2.46,3.16,1.26,0.63,-0.512
Singleback Normal WR Post,3.82,289,1.84,3.08,4.45,0.34,0.374
I Formation Twin WR Slot Hitch,3.75,185,1.38,4.84,1.08,0.54,0.623
Goal Line Normal HB Off Tackle,3.72,1375,,,,0.7,-0.761
Weak I Normal HB Inside Strong,3.68,979,,,,0.4,-0.179
Strong I Normal HB Off Tackle Strong,3.64,2610,,,,,-0.195
I Formation Twin WR HB Toss Weak,3.63,174,,,,,-0.323
I Formation Big HB Strong,3.63,83,,,,,-0.303
Strong I Big WR Quick In,3.62,191,3.94,0.52,0.52,1.03,0.99
I Formation Normal Curl & Post,3.62,621,1.18,3.52,5.28,0.96,-0.021
Split Backs 3 Wide Dive Right,3.61,646,,,,,0.19
I Formation Twin WR HB Toss Strong,3.6,84,,,,,-1.248
Split Backs Normal TE Curl,3.59,118,3.63,0.84,0.84,,-0.034
Goal Line Normal HB Toss Strong,3.59,1491,,,,0.79,-0.646
Singleback Big Off Tackle Strong,3.58,894,,,,,0.118
Strong I Big HB Toss Strong,3.57,73,,,,1.35,-0.584
Goal Line Normal HB Outside Strong,3.55,1407,,,,0.84,-1.049
Strong I Big HB Swing,3.54,100,2.67,1.98,1.98,0.99,0.478
Shotgun 2 RB 3 WR FL Drag,3.53,646,3.28,1.53,0.15,1.38,-1.482
Split Backs 3 Wide Off Tackle Strong,3.53,730,,,,0.14,-0.022
I Formation Twin WR Hook Ins,3.53,162,2.81,1.18,3.55,,-0.341
I Formation Normal Cross In,3.52,289,3.01,1.35,2.02,0.67,0.184
Shotgun Normal Short Attack,3.52,398,1.98,2.25,4.5,0.75,0.187
Strong I Big TE Drag,3.51,49,,,4.08,,0.007
Goal Line Normal HB Pitch Weak,3.49,1663,,,,0.41,-0.542
Split Backs 3 Wide Slot Drag,3.44,142,,1.41,,0.7,-0.529
Singleback Slot Strong TE Corner,3.41,206,-0.19,3.81,10.0,,-0.262
Split Backs 3 Wide WR Post,3.41,218,0.45,3.64,7.27,,-0.534
Weak I Big HB Dive Strong,3.4,180,,,,,0.37
I Formation Normal Strong Flood,3.4,111,,2.68,,,-0.653
Weak I Normal Fullback Counter Weak,3.39,830,,,,0.23,0.006
Singleback Slot Strong Skinny Posts,3.35,298,1.9,3.31,0.66,0.99,-0.446
Shotgun Normal Double Outs,3.33,920,2.62,2.26,0.11,1.18,-0.72
Shotgun 5 Wide WR Curls,3.32,56,0.77,3.57,5.36,1.79,-1.024
Singleback Slot Strong TE Slot Curls,3.32,50,,4.0,,,-1.472
Shotgun Normal HB Sweep,3.31,595,,,,,-0.143
Weak I Normal FB Inside Weak,3.31,427,,,,0.23,-0.666
Goal Line Normal FB Dive,3.3,96,,,,,0.855
I Formation Normal PA Outside Curls,3.28,1148,0.92,2.6,7.27,0.61,-1.58
Strong I Big HB Toss Weak,3.27,92,,,,1.09,0.065
Split Backs Normal Curls,3.24,66,0.56,4.55,3.03,1.52,-0.28
I Formation Power HB Sweep Weak,3.24,734,,,,1.21,-0.497
Strong I Normal Quick Hooks,3.23,310,2.43,1.89,1.58,0.63,-1.006
Split Backs Normal HB Off Tackle,3.21,86,,,,,1.053
Shotgun 2 RB 3 WR FB In,3.21,833,-0.64,3.82,10.99,1.19,-0.975
I Formation 3WR SE Post,3.2,939,0.97,3.91,2.64,1.27,-0.95
I Formation Normal HB Counter,3.18,817,,,,,-0.611
Goal Line Normal PA TE Drag,3.18,1258,2.12,2.66,0.47,0.63,-0.815
Shotgun 4 Wide Slot Curl,3.18,49,-4.34,12.24,4.08,,-1.467
I Formation Normal SE Post,3.14,951,-3.5,3.25,26.62,1.26,-1.19
Shotgun Normal Post Flags,3.12,176,1.07,3.91,1.68,1.12,-0.015
Shotgun 4 Wide Slot Drag,3.09,77,1.37,1.3,7.79,,-0.703
I Formation Normal FB Middle,3.08,233,1.22,1.71,7.26,0.85,-0.231
I Formation Normal FL Hook,3.07,1319,2.12,1.73,2.64,0.23,-1.168
Shotgun 5 Wide Slot Cross,3.04,219,0.92,1.82,8.18,0.91,-0.831
Strong I Normal Counter Strong,3.04,761,,,,,-0.376
Singleback Normal Hitch Corner,3.04,105,,,,0.95,-0.508
Singleback Slot Strong Overload Strong,3.04,261,-1.22,4.18,11.79,,-0.473
I Formation Power HB Draw,3.02,329,,,,0.59,-1.541
I Formation Power HB Dive Weak,3.01,459,,,,0.85,-0.958
I Formation Big HB Outside Weak,3.0,152,,,,,-0.269
Shotgun Normal HB Dive,2.97,751,,,,,-0.099
Empty 4 Wide Spread Flats,2.96,213,0.69,4.15,1.84,,-0.145
I Formation 3WR Weak Flood,2.92,216,2.57,1.39,0.46,0.46,-0.999
Split Backs Normal Strong Pitch Sweep,2.9,146,,,,0.68,-0.223
Goal Line Normal HB Dive,2.9,1378,,,,0.84,-0.672
Shotgun Normal Slot Drag,2.89,203,,3.92,,1.47,-1.072
Singleback 4 Wide WR Crosses,2.89,54,,,5.36,,-0.168
Singleback Big HB Curls TE Deep,2.82,250,0.52,2.38,7.14,0.4,-0.09
Goal Line Normal HB Weak,2.81,1154,,,,0.51,-1.243
Shotgun 2 RB 3 WR WR Hooks,2.76,670,0.6,3.87,1.93,0.89,-1.157
I Formation Twin WR Slot Out,2.71,65,-4.02,1.52,31.82,,-1.712
Shotgun 5 Wide FL Hook,2.7,83,1.07,2.41,3.61,,-0.672
Singleback Slot Strong HB Flat,2.66,109,1.38,2.73,0.91,0.91,-1.016
Strong I Big TE Deep Corner,2.62,32,-3.72,3.12,25.0,,-1.552
Weak I Big HB Counter Weak,2.58,115,,,,0.86,0.008
Singleback Big PA Curls,2.57,166,-2.15,4.17,13.69,1.19,-1.1
Singleback Big TE Flat Curl,2.56,217,-1.13,2.74,12.79,0.46,-0.963
Shotgun 4 Wide In and Out,2.53,90,-0.7,3.3,8.79,,-0.786
Weak I Big TE Drag,2.47,159,-0.99,5.56,3.09,0.62,-0.208
Singleback 4 Wide Post and Drag,2.43,149,-0.95,2.0,13.33,0.67,-0.904
I Formation Big TE Curl,2.42,43,-1.75,4.65,9.3,,-1.511
I Formation Twin WR HB Counter Middle,2.41,67,,,,,-1.161
I Formation Normal TE Flag,2.4,247,-2.74,2.41,20.88,1.2,-0.843
Split Backs 3 Wide WR2 Deep Post,2.39,107,-3.86,1.87,28.04,2.8,-0.938
Strong I Normal HB Sweep Strong,2.38,167,,,,,-0.72
Singleback Normal Quick Looks,2.26,42,,,2.38,,-3.562
Split Backs 3 Wide Off Tackle Weak,2.25,174,,,,,-0.414
Singleback Big Waggle Post,2.01,105,-7.49,2.86,40.95,3.81,-0.769
Shotgun 4 Wide All Curls,1.95,40,-2.66,7.5,2.5,,-0.891
Singleback Empty 4 Curl Flats,1.94,93,-1.55,4.3,6.45,1.08,-1.161
I Formation Normal PA Streaks,1.94,658,-6.9,2.42,38.88,1.06,-1.481
Singleback Empty 4 Slot Crosses,1.91,148,-5.98,4.67,27.33,1.33,-1.173
I Formation Normal HB Toss Strong,1.9,234,,,,,-0.983
Singleback 4 Wide Post and Curls,1.81,32,-0.95,3.12,6.25,,0.084
I Formation 3WR Slot Corner Long,1.74,975,-4.73,4.39,20.92,0.61,-1.371
Singleback Empty 4 TE Drag WR Mix,1.68,79,-3.3,5.06,11.39,,-1.27
I Formation Power Play Action Bomb,1.63,342,-7.31,2.9,37.68,0.58,-1.921
I Formation Normal HB Toss Weak,1.62,210,,,,,-1.068
Singleback Slot Strong Slot Curl,1.54,49,-0.95,4.0,2.0,,-1.351
Singleback Slot Strong Off Tackle Strong,1.53,148,,,,,-0.336
Split Backs 3 Wide RB Curls,1.36,77,-4.52,2.56,23.08,,-0.411
Strong I Normal HB Power Strong,1.34,195,,,,,-0.675
Singleback Big HB Pitch Weak,1.25,211,,,,,-1.172
Strong I Normal FB Trap Weak,1.24,86,,,,,-1.469
Shotgun Normal HB Delay,1.23,468,,,,,-1.173
Weak I Big TE Deep Post,1.18,49,-9.38,6.0,36.0,,-0.356
I Formation 3WR Outside Curls,0.85,73,-3.84,1.35,20.27,,-1.318
Singleback Normal FL Drag,0.81,31,,,37.5,,-1.64
Singleback Normal Deep Corners,0.61,41,-6.1,7.32,12.2,,-2.429
Strong I Normal PA All Go,0.3,104,-11.82,1.9,55.24,,-2.665
I Formation 3WR WR Post,-0.23,110,-5.87,2.7,19.82,,-2.058
Shotgun Normal Deep Weak In and Out,-0.34,342,-7.76,2.33,29.74,0.87,-1.686
Shotgun 2 RB 3 WR Strong Deep,-1.21,316,-10.25,3.16,34.49,0.32,-1.605
Singleback Big WR Streaks,-1.24,146,-12.04,5.48,36.3,,-1.483
I Formation 3WR HB Toss Strong,-1.28,659,,,,,-1.54
Empty 4 Wide Spread Deep Corner Post,-2.65,49,-12.16,2.04,38.78,,-0.532
Weak I Normal All Go,-4.18,71,,,61.11,,-3.046
I Formation Normal TE Out,-5.45,52,-24.28,3.77,77.36,,-2.693
Shotgun Normal Hail Mary,-6.22,55,-24.55,1.82,80.0,,-2.05
I Formation Power Play Action HB Downfield,8.77,1188,7.73,3.26,4.18,4.94,0.58
Split Backs Normal WR Post,8.61,54,8.48,1.85,3.7,3.7,0.021
I Formation Twin WR Hard Slants,8.52,461,7.03,4.26,3.19,4.26,0.748
Strong I Big TE Post,8.34,260,5.48,3.4,12.45,5.28,0.991
Weak I Big HB Lead Toss Weak,7.72,66,,,,1.49,0.806
Shotgun Normal HB Flare,7.52,1580,5.81,3.22,6.43,3.03,0.294
Singleback Normal HB Release Mid,7.39,313,5.45,4.43,3.8,3.8,0.916
I Formation Normal FL Hitch,7.33,1104,7.18,2.31,1.16,2.84,0.282
I Formation Twin WR Quick Outs,7.23,294,,2.01,,2.34,1.061
Weak I Normal WR Corner TE Middle,7.08,729,6.21,1.91,5.72,2.59,0.493
I Formation 3WR Slot Short WR Deep,7.05,650,5.5,2.44,7.48,2.9,0.309
Split Backs Normal Posts,6.93,109,6.35,1.79,4.46,4.46,1.071
I Formation 3WR FL Post,6.72,435,5.78,2.29,4.58,1.6,0.57
I Formation Normal Strong Flood,6.7,33,,3.03,,3.03,-1.59
I Formation 3WR WR Out,6.55,548,6.89,1.26,1.08,2.15,0.653
Strong I Big Backfield Drag,6.51,212,5.76,0.93,7.48,2.34,1.066
I Formation 3WR HB Inside Weak,6.24,705,,,,0.84,0.385
Singleback Big Ins and Outs,6.16,225,4.18,4.78,1.74,2.17,0.197
Weak I Big WR Post TE Out,6.02,178,4.89,1.67,6.67,0.56,0.352
Split Backs 3 Wide Drag In,5.93,76,6.07,1.32,1.32,,0.227
Singleback Normal TE Quick Out,5.87,402,4.5,3.19,3.19,1.72,1.162
Singleback Normal Slot WR Cross,5.86,64,2.97,3.12,10.94,3.12,-0.736
I Formation Power PA Flats,5.83,1100,4.25,2.24,7.0,2.69,0.419
Singleback 4 Wide Quick Outs,5.82,109,5.35,0.91,5.45,1.82,1.258
Singleback Normal HB Dive Weak,5.76,417,,,,0.47,0.49
Shotgun 2 RB 3 WR RB Curls,5.72,225,5.38,1.32,3.51,2.19,-0.527
Singleback Normal HB Inside Weak,5.72,447,,,,0.22,0.644
Singleback Normal WR Quick In,5.62,165,5.56,1.78,0.59,1.18,0.815
Singleback Normal WR Post,5.6,67,3.49,4.41,2.94,2.94,0.295
Strong I Normal Short Attack,5.49,88,5.68,1.14,1.14,2.27,0.095
Singleback Normal HB Dive Strong,5.49,335,,,,0.89,0.578
Empty 4 Wide Spread Corner Post,5.42,67,4.41,1.49,5.97,,0.248
I Formation Normal Max Protect,5.42,516,3.73,2.5,6.36,1.16,-0.113
Singleback Slot Strong HB Strong Inside,5.34,285,,,,1.03,-0.006
Singleback Empty 4 Short Posts,5.32,53,4.88,1.89,1.89,,-0.612
Singleback Normal FL Post,5.31,175,2.28,2.84,11.93,0.57,0.785
I Formation 3WR Backfield Flats,5.31,155,3.53,2.58,6.45,1.94,0.313
Strong I Big HB Dive Strong,5.28,68,,,,1.45,0.456
Split Backs 3 Wide WR Quick Out,5.25,326,4.69,2.1,1.8,0.9,0.056
Weak I Normal Skinny Posts,5.2,440,5.35,1.12,1.12,2.68,-0.152
Strong I Normal WR Post TE Out,5.15,260,4.36,1.52,4.56,1.14,0.214
Singleback Normal HB Counter Weak,5.11,489,,,,0.6,0.429
Singleback Big WR Deep,5.06,304,1.23,3.27,14.38,2.29,-0.136
Singleback Normal PA Rollout,5.02,87,,,13.79,1.15,0.851
Singleback Slot Strong HB Counter,4.96,466,,,,0.84,0.514
Shotgun Normal TE Out,4.95,236,3.43,3.77,1.26,1.26,0.368
Singleback Slot Strong HB Flat,4.89,36,,,,5.56,0.681
I Formation Twin WR Slot Hitch,4.83,50,,1.92,,1.92,1.429
I Formation Normal HB Blast,4.8,783,,,,0.75,0.174
Singleback Normal Quick Slant,4.78,95,3.42,2.11,5.26,3.16,-0.078
Singleback 4 Wide Post and Drag,4.76,38,-2.18,7.89,15.79,,-0.994
Split Backs 3 Wide Slot Post,4.76,149,1.85,2.67,11.33,1.33,0.503
I Formation 3WR Slot Corner Short,4.75,130,4.62,1.54,0.77,0.77,-0.06
Shotgun 2 RB 3 WR Shotgun Sweep,4.75,563,,,,0.7,0.225
I Formation Normal HB Dive,4.71,766,,,,1.15,0.113
I Formation 3WR HB Inside Strong,4.71,544,,,,,-0.225
