OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Singleback Big Waggle Post,3.95,77,-2.54,1.3,32.47,1.3,-0.049
Shotgun 2 RB 3 WR RB Curls,3.93,747,1.87,3.59,3.46,0.27,-0.824
I Formation Twin WR Slot Hitch,3.92,129,,,3.08,,0.577
Singleback Slot Strong TE Slot Curls,3.91,52,2.1,3.7,1.85,1.85,-1.656
Singleback Slot Strong Skinny Posts,3.87,262,2.21,3.42,1.9,1.14,-0.333
Shotgun 5 Wide Middle Curls,3.85,81,,4.88,,2.44,-0.305
I Formation Normal Strong Flood,3.84,80,,,,,-0.468
Singleback Slot Strong Post Curls,3.83,148,,0.68,,0.68,-0.673
Goal Line Normal FB Dive,3.81,65,,,,,0.458
Strong I Big HB Toss Weak,3.81,68,,,,1.43,0.053
Strong I Big WR Quick In,3.81,153,3.66,1.3,0.65,1.3,0.209
Goal Line Normal HB Outside Strong,3.79,1227,,,,0.48,-0.654
Split Backs Normal Strong Pitch Sweep,3.79,87,,,,,0.217
Goal Line Normal HB Off Tackle,3.79,1099,,,,0.8,-1.004
Split Backs 3 Wide Dive Right,3.77,463,,,,,0.236
Singleback Normal WR Post,3.76,268,2.36,2.22,4.07,0.74,-0.446
Strong I Big HB Swing,3.74,91,,,1.09,,0.086
I Formation Power HB Dive Weak,3.7,340,,,,1.16,-0.884
Singleback Empty 4 Short Posts,3.66,195,0.21,5.61,4.08,3.06,-1.094
Singleback Slot Strong TE Corner,3.65,198,-0.26,5.05,8.08,0.51,-1.282
Split Backs 3 Wide Off Tackle Strong,3.64,612,,,,,-0.177
Singleback Big Off Tackle Strong,3.59,737,,,,0.13,0.084
Strong I Normal HB Off Tackle Strong,3.58,1792,,,,0.11,-0.314
Shotgun 2 RB 3 WR FB In,3.56,640,-0.24,4.04,10.42,0.62,-0.942
Weak I Normal FB Inside Weak,3.53,303,,,,,-0.22
I Formation Normal PA Outside Curls,3.49,839,0.71,3.74,6.19,0.82,-1.251
Shotgun Normal Short Attack,3.44,349,-0.77,5.98,6.55,0.28,-0.327
I Formation Normal FL Hook,3.43,926,2.24,2.15,2.9,0.65,-1.145
Shotgun Normal HB Sweep,3.42,561,,,,0.18,-0.057
I Formation Normal TE Flag,3.39,177,-2.56,3.37,23.03,3.37,-1.343
Singleback 4 Wide WR Crosses,3.35,40,,,2.5,,-1.922
Singleback Slot Strong Slot Curl,3.34,37,,,,,-0.622
Weak I Big HB Dive Strong,3.29,159,,,,,0.135
I Formation Power HB Sweep Weak,3.28,624,,,,0.95,-0.503
Strong I Big TE Drag,3.26,34,0.98,2.94,5.88,2.94,-0.556
I Formation Normal HB Counter,3.24,545,,,,,-0.47
Shotgun Normal HB Dive,3.22,741,,,,,0.133
Strong I Normal Counter Strong,3.21,448,,,,,-0.778
I Formation 3WR Weak Flood,3.2,151,,0.65,,,-1.123
Shotgun 5 Wide WR Curls,3.19,37,0.04,5.41,2.7,,0.209
Empty 4 Wide Spread Flats,3.19,183,1.68,3.23,1.08,1.08,-1.026
Weak I Normal HB Inside Strong,3.19,706,,,,0.28,-0.43
I Formation 3WR SE Post,3.18,731,0.71,3.95,3.67,0.82,-1.137
Weak I Big HB Counter Weak,3.18,100,,,,,0.007
Singleback Normal Post Corner,3.16,235,-1.86,4.22,15.61,0.84,-1.092
I Formation Big HB Outside Weak,3.15,99,,,,,-0.346
Goal Line Normal PA TE Drag,3.13,968,2.03,2.65,0.71,0.82,-1.113
Singleback Normal Hitch Corner,3.12,76,,2.63,,,0.518
I Formation Normal Curl & Post,3.11,353,0.03,3.64,7.56,1.12,-0.241
Goal Line Normal HB Pitch Weak,3.11,1295,,,,0.08,-0.827
Shotgun Normal Double Outs,3.1,789,1.94,2.89,0.25,0.38,-0.952
I Formation Twin WR HB Toss Weak,3.04,112,,,,,0.054
Goal Line Normal HB Dive,3.03,1025,,,,0.66,-0.46
Shotgun Normal Post Flags,3.03,156,2.75,1.27,0.63,0.63,-0.389
Split Backs Normal HB Off Tackle,3.02,90,,,,1.09,0.539
Singleback Slot Strong HB Flat,3.02,106,2.3,1.89,0.94,0.94,-0.817
I Formation Normal Cross In,3.0,204,2.84,0.95,0.95,,-0.251
Split Backs Normal Curls,2.98,40,1.67,2.38,2.38,,0.054
Singleback Normal Quick Looks,2.97,37,,2.7,,,-1.877
I Formation Power HB Draw,2.96,266,,,,0.74,-1.04
Shotgun 4 Wide All Curls,2.94,47,,,,,0.526
Strong I Normal Quick Hooks,2.94,217,1.52,3.21,0.46,0.46,-0.973
Weak I Normal Fullback Counter Weak,2.93,560,,,,0.17,-0.206
Singleback Big PA Curls,2.87,168,-0.58,2.96,11.24,,-0.362
Split Backs 3 Wide RB Curls,2.87,61,-1.8,1.64,21.31,,-0.262
Goal Line Normal HB Weak,2.86,981,,,,0.59,-1.113
Shotgun 2 RB 3 WR FL Drag,2.85,466,2.05,2.14,0.43,0.43,-1.315
Singleback Slot Strong Overload Strong,2.84,208,-0.8,3.83,9.57,,-0.524
Singleback Empty 4 Slot Crosses,2.81,116,-5.42,3.45,33.62,3.45,-0.828
Split Backs 3 Wide WR2 Deep Post,2.77,69,-1.74,4.23,12.68,1.41,-0.615
Singleback Big HB Curls TE Deep,2.74,204,0.86,1.94,6.31,0.97,-0.043
Split Backs 3 Wide WR Post,2.7,142,-1.34,2.78,14.58,0.69,-0.901
I Formation Twin WR HB Counter Middle,2.67,38,,,,,1.413
Shotgun 5 Wide FL Hook,2.62,64,-1.23,6.25,3.12,,-1.579
I Formation Normal HB Toss Weak,2.61,140,,,,,-0.903
I Formation Normal SE Post,2.61,681,-4.31,2.93,28.4,0.88,-1.045
I Formation Normal FB Middle,2.59,167,0.61,1.19,8.93,,-0.551
I Formation Twin WR HB Toss Strong,2.58,72,,,,,-1.973
I Formation Normal HB Toss Strong,2.53,181,,,,,-0.645
Split Backs 3 Wide Slot Drag,2.49,106,1.69,1.85,0.93,,-0.07
I Formation 3WR Outside Curls,2.45,58,-0.17,3.45,5.17,,-0.449
Strong I Normal HB Sweep Strong,2.43,95,,,,,-0.587
Shotgun 2 RB 3 WR WR Hooks,2.42,488,-0.56,4.69,3.27,0.61,-1.239
Split Backs Normal Overload Strong,2.24,71,-0.69,2.82,8.45,,-0.801
I Formation Twin WR Hook Ins,2.2,99,-0.16,3.0,5.0,1.0,-0.3
Singleback Big TE Flat Curl,2.14,168,-2.25,2.94,15.29,,-1.543
Strong I Big HB Toss Strong,2.09,52,,,,,0.03
I Formation Twin WR Slot Out,2.05,56,,,25.0,1.79,-1.594
Split Backs 3 Wide Off Tackle Weak,2.02,144,,,,,-0.836
I Formation Power Play Action Bomb,2.0,242,-7.11,2.07,41.32,3.31,-1.906
Shotgun 4 Wide Slot Curl,1.94,34,-4.73,8.82,8.82,2.94,-1.301
Singleback Big HB Pitch Weak,1.92,190,,,,0.52,-1.341
Singleback 4 Wide Post and Drag,1.81,107,-3.75,2.78,21.3,0.93,-0.109
Weak I Big TE Drag,1.76,90,0.55,1.11,4.44,,-0.368
Shotgun Normal HB Delay,1.74,425,,,,,-1.298
I Formation 3WR Slot Corner Long,1.7,736,-4.42,3.37,22.24,0.4,-1.21
Strong I Normal HB Power Strong,1.55,113,,,,,-0.025
Strong I Normal FB Trap Weak,1.52,59,,,,,-1.989
Singleback Slot Strong Off Tackle Strong,1.48,178,,,,,-0.739
Weak I Big TE Deep Post,1.47,37,-7.71,2.63,39.47,5.26,-0.876
I Formation Normal PA Streaks,1.38,491,-8.0,2.23,41.58,0.81,-1.482
Singleback Empty 4 TE Drag WR Mix,1.13,44,,,19.57,2.17,-2.338
Singleback 4 Wide Clear Center,0.98,44,-5.19,6.82,11.36,,-2.087
Singleback Normal Deep Corners,0.79,38,-4.84,2.63,21.05,,-3.035
Empty 4 Wide Spread Deep Corner Post,0.5,44,-8.04,6.82,22.73,,-2.143
I Formation 3WR WR Post,0.05,85,-5.12,3.53,15.29,,-2.022
Shotgun Normal Deep Weak In and Out,-0.03,329,-8.28,3.33,31.21,1.52,-1.471
Singleback Normal FL Drag,-0.55,38,-13.29,5.26,47.37,,-1.57
Strong I Normal PA All Go,-0.81,35,-13.41,2.7,54.05,,-3.229
I Formation 3WR HB Toss Strong,-1.12,523,,,,0.19,-1.795
Singleback Normal FL Go,-1.51,35,-14.39,5.71,45.71,,-1.666
Shotgun 2 RB 3 WR Strong Deep,-1.65,228,-13.29,5.65,39.57,,-1.422
Singleback Big WR Streaks,-1.79,105,-11.77,0.94,45.28,,-2.588
I Formation Normal TE Out,-2.15,61,,,55.74,,-2.629
Weak I Normal All Go,-4.04,47,-19.85,2.08,68.75,,-2.244
Shotgun 5 Wide 5 WR All Go,-6.26,46,-26.21,2.17,86.96,2.17,-3.337
Singleback 4 Wide Quick Outs,9.47,32,,,6.25,3.12,1.637
I Formation Power Play Action HB Downfield,9.13,238,8.31,3.31,3.31,5.79,1.198
I Formation Twin WR Hard Slants,8.35,114,7.14,3.39,4.24,4.24,0.599
Singleback Big Ins and Outs,8.25,120,6.73,5.0,0.83,5.0,0.858
I Formation Normal FL Hitch,8.21,333,8.43,2.07,0.89,3.85,0.009
Shotgun Normal HB Flare,8.13,479,7.52,1.66,6.22,3.94,0.222
I Formation 3WR Slot Short WR Deep,7.74,188,6.87,3.16,2.63,4.21,0.183
Strong I Big TE Post,7.41,78,3.76,3.85,14.1,1.28,0.44
I Formation Normal Max Protect,7.04,134,6.12,2.19,5.11,3.65,0.312
Strong I Big Backfield Drag,7.03,58,,,6.9,5.17,1.066
I Formation Twin WR Quick Outs,6.81,79,,,3.8,5.06,1.07
Weak I Normal WR Corner TE Middle,6.69,241,5.38,2.07,7.02,1.65,0.256
I Formation Power PA Flats,6.49,216,5.06,2.27,6.82,2.73,0.311
I Formation 3WR PA Fullback Flat,6.33,66,,1.49,,2.99,0.137
Weak I Big WR Post TE Out,6.29,58,2.38,5.17,10.34,,-0.0
Split Backs 3 Wide WR Quick Out,6.28,97,,4.08,,4.08,0.171
Singleback Normal TE Quick Out,6.25,139,5.79,2.14,2.14,1.43,0.795
Singleback Normal HB Release Mid,6.09,118,1.43,8.4,4.2,3.36,0.473
I Formation Normal SE Post,6.02,61,0.34,4.69,20.31,3.12,-0.449
I Formation 3WR FL Post,5.96,117,5.45,0.85,5.93,1.69,-0.518
I Formation 3WR HB Inside Weak,5.92,230,,,,0.43,0.317
Singleback Normal WR Quick In,5.65,48,,6.12,,,0.296
I Formation 3WR Backfield Flats,5.6,57,,,5.26,1.75,0.065
Shotgun 2 RB 3 WR RB Curls,5.51,73,2.5,5.48,4.11,2.74,-0.461
Singleback Normal HB Dive Weak,5.47,123,,,,,1.018
Split Backs 3 Wide Dive Left,5.44,79,,,,,1.06
Singleback Slot Strong HB Strong Inside,5.4,94,,,,1.98,0.167
I Formation 3WR WR Out,5.34,166,3.5,4.65,0.58,1.16,0.419
Singleback Normal HB Dive Strong,5.23,94,,,,,1.086
I Formation Normal PA Fullback Flat,5.22,145,4.5,2.04,2.72,2.04,-0.949
Singleback Normal HB Inside Weak,5.13,120,,,,,1.196
Singleback Normal HB Counter Weak,5.11,138,,,,0.71,0.52
Singleback Big Corner Ins,5.09,68,2.87,1.47,11.76,1.47,1.023
Singleback Big WR Deep,5.01,184,2.43,1.09,14.67,1.63,0.65
Singleback Slot Strong HB Counter,4.92,115,,,,1.69,-0.531
Shotgun 5 Wide Parallel Slants,4.91,46,,,,,-0.142
