OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
I Formation Twin WR Hard Slants,8.98,1386,8.36,2.98,3.12,5.17,1.038
Shotgun Normal HB Flare,8.76,2281,6.84,2.61,10.56,5.65,0.15
I Formation 3WR Backfield Flats,8.43,313,7.33,0.95,11.11,4.44,1.048
I Formation Normal FL Hitch,7.99,2941,8.08,2.11,1.24,4.15,0.707
Singleback Normal HB Release Mid,7.95,533,5.62,4.85,5.04,3.92,0.693
Strong I Big TE Post,7.81,622,5.3,3.18,10.81,3.97,0.754
Singleback Normal TE Quick Out,7.37,638,6.46,3.1,2.63,3.72,0.593
Shotgun 5 Wide Middle Curls,7.26,34,,,,5.88,0.871
Split Backs 3 Wide WR Quick Out,7.21,728,6.73,2.58,1.9,3.8,0.182
Split Backs Normal Posts,6.88,403,5.17,3.68,4.41,2.45,1.031
I Formation 3WR WR Out,6.84,1080,6.45,2.66,0.83,2.75,0.625
I Formation 3WR Slot Short WR Deep,6.76,1353,4.48,3.38,8.0,3.08,0.38
I Formation 3WR FL Post,6.38,850,4.14,3.03,8.51,3.03,0.26
I Formation Twin WR Quick Outs,6.38,861,6.06,2.52,0.46,2.18,0.949
Singleback 4 Wide Quick Outs,6.35,368,5.73,2.43,2.16,1.89,0.208
I Formation 3WR PA Fullback Flat,6.3,468,6.12,2.11,0.85,3.17,0.054
I Formation Power Play Action HB Downfield,6.27,1735,3.95,3.82,6.45,2.62,0.256
Shotgun 2 RB 3 WR RB Curls,6.25,390,4.61,3.29,4.56,2.53,-0.621
Weak I Normal WR Corner TE Middle,6.24,2299,4.57,2.5,7.07,2.41,0.453
Shotgun 5 Wide Slot Drag,6.21,72,6.08,1.37,2.74,4.11,-0.483
Split Backs 3 Wide Slot Post,5.95,377,3.38,3.13,9.4,1.57,0.555
Singleback Normal Quick Slant,5.94,148,,,4.05,2.7,-0.097
Singleback Empty 4 TE Corner,5.82,90,2.99,3.33,10.0,2.22,-0.372
Singleback Big Ins and Outs,5.81,664,4.32,4.02,1.19,2.68,0.124
Singleback Slot Strong HB Checkdown,5.65,99,3.98,3.0,5.0,4.0,0.345
Singleback Big Corner Ins,5.59,274,2.35,3.27,12.0,2.18,0.907
I Formation Normal Max Protect,5.28,1514,3.12,3.26,6.32,1.69,0.394
Singleback Normal Slot WR Cross,5.25,63,2.55,3.12,9.38,1.56,-0.366
Weak I Big WR Post TE Out,5.21,393,3.77,2.28,5.57,0.76,0.465
Singleback Normal WR Quick In,5.08,263,3.45,3.4,3.02,1.13,0.736
Shotgun 5 Wide Slot Cross,5.03,70,,,7.04,2.82,0.409
Weak I Big Off Tackle Weak,4.99,79,,,,2.53,-0.508
Singleback Empty 4 Curl Flats,4.95,56,3.08,3.57,3.57,1.79,-0.92
Singleback Normal SE Quick Hit,4.93,195,4.01,3.02,0.5,3.52,0.639
Strong I Normal Short Attack,4.77,230,3.91,2.6,1.3,2.16,-0.017
Singleback Empty 4 Short Posts,4.72,142,3.83,2.11,2.82,2.82,-1.269
Weak I Normal Skinny Posts,4.68,1322,4.55,1.43,1.05,2.4,-0.209
Strong I Big Backfield Drag,4.67,563,3.88,1.58,3.85,2.63,0.56
Weak I Normal HB Inside Weak,4.66,1861,,,,1.27,0.547
Strong I Big HB Dive Strong,4.58,150,,,,,0.602
Singleback Normal HB Dive Strong,4.54,396,,,,0.25,0.743
I Formation Big HB Strong,4.52,50,,,,,-1.087
Singleback Normal Post Corner,4.47,72,0.15,2.74,17.81,4.11,-0.457
Shotgun Normal FL Slant,4.43,186,2.79,1.58,7.89,3.68,-0.21
I Formation Big TE Sneak Out,4.41,79,,6.33,,1.27,-0.544
Shotgun Normal TE Out,4.39,323,2.03,3.98,4.28,2.75,-0.882
Singleback Normal PA Rollout,4.36,137,0.27,3.65,13.87,2.19,-0.559
Singleback Big WR Deep,4.35,1014,-0.41,4.78,13.84,2.53,0.232
Singleback Slot Strong Skinny Posts,4.21,107,3.75,1.87,0.93,3.74,-0.775
Split Backs Normal Skinny Post Corner,4.2,252,4.25,1.18,0.39,1.96,0.856
Split Backs 3 Wide RB Curls,4.16,49,-1.94,4.08,22.45,2.04,-0.357
I Formation Power PA Flats,4.16,1348,2.21,2.49,6.45,1.39,0.009
Singleback Normal Hitch Corner,4.16,38,,,,,0.199
Singleback Normal FL Post,4.11,243,1.92,2.04,8.98,1.63,0.434
Shotgun 2 RB 3 WR WR Curl,4.1,362,2.34,3.3,3.02,1.1,-0.871
Singleback Normal WR Post,4.08,85,0.94,4.65,5.81,1.16,-0.114
Shotgun 5 Wide Parallel Slants,4.03,258,2.45,3.08,2.69,0.38,-0.137
Split Backs Normal TE Curl,4.02,53,,5.56,,,0.578
Singleback Slot Strong HB Strong Inside,3.97,306,,,,1.28,0.365
I Formation Normal FL Hook,3.93,799,3.25,1.62,2.49,0.25,-0.561
I Formation Normal PA Fullback Flat,3.92,1587,2.89,2.36,2.05,1.86,-0.284
I Formation Power HB Dive Weak,3.91,184,,,,0.54,-1.196
I Formation Normal Curl & Post,3.83,333,0.63,5.33,3.85,0.59,0.133
I Formation 3WR HB Inside Weak,3.8,1256,,,,1.09,-0.23
Singleback Slot Strong HB Flat,3.79,33,,3.03,,3.03,1.698
Split Backs Normal Weak Pitch Sweep,3.78,155,,,,0.64,-0.319
I Formation Normal HB Dive,3.77,2072,,,,0.94,0.699
I Formation 3WR Weak Flood,3.75,101,,,,,-0.501
Weak I Big HB Dive Strong,3.75,93,,,,,0.019
I Formation Power HB Strong Outside,3.74,933,,,,0.63,-0.023
Strong I Normal WR Post TE Out,3.67,750,2.58,1.06,5.94,0.66,0.129
I Formation 3WR Slot Corner Short,3.59,268,,2.23,,,-0.729
Strong I Big HB Off Tackle,3.58,76,,,,,-0.244
Split Backs Normal WR Post,3.55,163,0.13,3.03,11.52,1.82,0.427
I Formation Normal PA Outside Curls,3.52,740,1.45,2.28,6.99,0.4,-0.688
Split Backs Normal Strong Pitch Sweep,3.52,65,,,,1.45,1.375
Goal Line Normal HB Off Tackle,3.49,226,,,,0.43,-0.989
I Formation Twin WR Hook Ins,3.49,87,1.52,3.33,3.33,2.22,0.158
I Formation Twin WR Slot Hitch,3.41,122,3.12,0.81,2.44,,0.327
Shotgun 2 RB 3 WR FB In,3.33,369,-0.49,4.05,10.27,1.62,-1.314
Split Backs 3 Wide Drag In,3.32,150,0.92,2.0,9.33,0.67,-0.729
Strong I Normal HB Dive Strong,3.21,674,,,,0.29,0.406
I Formation Normal Cross In,3.21,167,2.78,1.18,1.78,0.59,-0.21
Goal Line Normal HB Outside Strong,3.16,273,,,,,-0.511
Split Backs 3 Wide Dive Right,3.15,272,,,,,0.034
Shotgun Normal Slot Drag,3.14,59,-3.69,11.86,1.69,,-2.14
I Formation Normal Strong Flood,3.14,56,,,1.75,,-0.565
I Formation Normal HB Draw,3.14,818,,,,,0.241
Singleback Big HB Inside Strong,3.1,801,,,,0.12,0.224
Split Backs Normal HB Off Tackle,3.08,64,,,,1.54,1.448
Goal Line Normal PA TE Drag,3.07,269,,1.82,,,-0.437
