OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Singleback Normal HB Inside Weak,3.15,423,,,,0.7,0.561
Weak I Big HB Counter Weak,3.12,43,,,,,0.575
I Formation 3WR Weak Flood,3.09,86,,,,,-1.229
Singleback Normal Hitch Corner,3.06,33,,,,,-0.035
Singleback Big Corner Ins,2.99,205,-0.44,3.35,10.05,,0.563
Shotgun 2 RB 3 WR WR Curl,2.98,326,0.51,3.99,3.37,,-1.441
I Formation Big TE Sneak Out,2.95,57,,5.26,,,-0.327
Split Backs Normal TE Curl,2.9,40,,5.0,,,-0.093
Strong I Normal HB Sweep Strong,2.88,41,,,,,0.022
Singleback Normal SE Quick Hit,2.88,149,0.54,4.64,0.66,0.66,0.335
Shotgun 2 RB 3 WR RB Curls,2.8,310,-0.87,5.05,5.99,0.32,-1.139
Strong I Normal Quick Hooks,2.79,120,2.52,0.82,1.64,,-0.226
Shotgun Normal Slot Drag,2.78,60,-4.99,13.33,1.67,,-1.373
Split Backs Normal Strong Pitch Sweep,2.75,32,,,,,0.379
Shotgun 2 RB 3 WR FB In,2.65,321,-2.62,4.67,14.95,0.62,-1.576
Shotgun Normal TE Out,2.62,272,-0.2,4.36,3.64,,-1.303
I Formation Normal Cross In,2.61,107,1.65,1.85,1.85,,0.35
Singleback Normal Slot WR Cross,2.6,57,-1.8,5.26,8.77,,0.078
I Formation Twin WR Slot Hitch,2.58,101,0.92,2.97,1.98,0.99,0.99
Singleback Normal WR Post,2.54,67,-1.13,4.48,7.46,,-1.432
Split Backs 3 Wide WR Post,2.51,79,-0.54,1.27,13.92,,-1.22
Singleback Big PA Curls,2.46,109,-0.44,2.68,8.93,,-0.613
I Formation 3WR Slot Corner Short,2.45,240,0.02,4.58,0.83,,-0.297
Shotgun 4 Wide In and Out,2.44,50,-1.07,2.0,14.0,,1.546
I Formation Normal PA Outside Curls,2.41,481,-0.37,3.09,7.01,0.21,-0.884
Singleback Slot Strong HB Counter,2.41,391,,,,0.51,-0.426
Empty 4 Wide Spread Flats,2.38,126,-0.43,4.69,2.34,1.56,-1.035
Singleback Normal HB Counter Weak,2.37,496,,,,0.8,0.227
Singleback Big WR Deep,2.37,784,-3.13,5.17,14.38,0.63,0.159
Shotgun 2 RB 3 WR Shotgun Sweep,2.35,668,,,,0.3,-0.542
Shotgun 4 Wide Slot Drag,2.28,49,-1.26,4.0,8.0,,0.545
Split Backs 3 Wide Slot Drag,2.23,35,-1.33,5.71,2.86,,-0.654
Shotgun 5 Wide Slot Cross,2.22,48,,,8.16,,0.565
Singleback Slot Strong Skinny Posts,2.19,80,1.63,1.23,1.23,2.47,-0.443
Empty 4 Wide Spread Corner Post,2.16,172,-3.42,7.51,7.51,,-0.268
I Formation Normal Curl & Post,2.15,214,-1.57,5.53,4.15,0.46,-0.182
Singleback Slot Strong TE Corner,2.11,46,-3.12,6.52,8.7,,-1.46
I Formation Normal HB Toss Strong,2.09,90,,,,,-0.861
Singleback 4 Wide Post and Drag,2.07,83,,,17.86,1.19,-0.434
Shotgun 2 RB 3 WR Shotgun Dive,2.06,372,,,,,-0.039
I Formation Normal TE Flag,2.05,84,-6.85,6.98,25.58,,-0.755
Split Backs Normal Skinny Post Corner,2.05,166,0.56,2.98,0.6,0.6,0.377
I Formation Normal HB Toss Weak,1.99,74,,,,,-1.107
Split Backs 3 Wide Off Tackle Strong,1.91,262,,,,,-0.974
Singleback Slot Strong Overload Strong,1.85,86,-1.97,3.49,10.47,,-1.127
I Formation 3WR Outside Curls,1.83,35,-0.66,2.86,5.71,,-1.689
I Formation Normal FL Hook,1.82,562,-0.01,2.48,3.55,0.53,-0.811
Singleback Big HB Pitch Weak,1.77,113,,,,,-0.977
Shotgun Normal Double Outs,1.72,216,-0.89,4.61,0.92,,-1.359
Shotgun 2 RB 3 WR FL Drag,1.72,235,-0.23,3.4,1.28,1.28,-1.836
Split Backs 3 Wide RB Curls,1.69,45,-5.97,4.44,26.67,,-0.199
I Formation 3WR SE Post,1.64,389,-2.14,5.38,4.36,0.26,-1.419
Split Backs Normal WR Post,1.6,107,-3.08,4.63,11.11,1.85,-0.018
I Formation Normal FB Middle,1.55,92,-1.8,1.08,15.05,,-0.326
Split Backs Normal Overload Strong,1.53,45,0.06,2.22,2.22,,-0.654
Shotgun Normal Short Attack,1.43,83,-4.54,6.02,13.25,1.2,-0.699
Shotgun 2 RB 3 WR WR Hooks,1.4,274,-2.11,5.11,3.65,0.36,-1.614
Strong I Big HB Swing,1.39,36,-3.89,8.33,2.78,,-0.305
Strong I Big WR Quick In,1.35,97,,3.09,,,0.739
Strong I Normal HB Power Strong,1.33,58,,,,,0.373
Shotgun Normal HB Dive,1.33,152,,,,,-0.883
Singleback Big HB Curls TE Deep,1.32,139,-2.7,4.29,8.57,,-0.45
Singleback Big Waggle Post,1.27,77,-7.04,2.6,35.06,,-0.162
Singleback Slot Strong Off Tackle Strong,1.26,35,,,,,-0.562
Split Backs 3 Wide Off Tackle Weak,1.25,66,,,,,-1.348
Shotgun Normal Post Flags,1.19,43,-5.09,9.3,4.65,,-1.092
Weak I Big TE Drag,1.1,49,,10.2,,,-1.178
I Formation Normal SE Post,1.07,387,-7.89,4.64,31.96,1.03,-0.922
Singleback Big TE Flat Curl,0.98,131,-2.94,2.29,13.74,,-1.558
Shotgun Normal HB Delay,0.89,102,,,,,-2.152
Singleback Slot Strong HB Flat,0.86,35,,2.86,,,1.362
Shotgun 5 Wide WR Curls,0.81,32,-2.78,3.12,9.38,,0.449
Singleback 4 Wide Clear Center,0.62,45,-4.59,2.22,20.0,2.22,-0.798
I Formation 3WR Slot Corner Long,0.59,378,-8.82,7.14,26.19,,-1.519
Shotgun Normal HB Sweep,0.51,117,,,,,-0.819
Strong I Normal PA All Go,0.1,40,-12.88,2.5,57.5,,-2.547
Shotgun 4 Wide Slot Curl,-0.23,31,-14.46,19.35,12.9,3.23,-2.511
