OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Singleback Slot Strong HB Counter,8.46,181,,,,1.09,0.993
Weak I Normal HB Inside Weak,8.03,781,,,,3.15,0.778
Weak I Normal Fullback Counter Weak,7.81,195,,,,0.51,0.891
I Formation Normal FL Hitch,7.7,1417,7.25,2.94,1.12,3.43,0.733
Weak I Normal FB Inside Weak,7.62,109,,,,1.82,-0.28
Singleback Normal HB Counter Weak,7.32,230,,,,1.3,1.175
I Formation Normal HB Dive,6.56,840,,,,1.17,0.528
I Formation Twin WR HB Toss Weak,6.55,36,,,,,-0.133
Singleback Normal HB Dive Weak,6.33,177,,,,2.21,0.965
I Formation Power HB Strong Outside,6.32,488,,,,0.2,0.468
Singleback Normal HB Inside Weak,6.16,164,,,,1.2,1.063
I Formation Normal HB Blast,6.09,956,,,,2.05,0.253
Singleback 4 Wide Quick Outs,5.87,344,5.09,2.59,2.02,1.15,0.467
I Formation Twin WR Hard Slants,5.87,614,3.36,5.02,3.4,1.46,0.917
Weak I Big HB Lead Toss Weak,5.68,57,,,,,1.279
Shotgun Normal HB Flare,5.54,755,3.46,3.16,6.45,1.84,0.083
I Formation Power HB Dive Weak,5.53,95,,,,2.08,-0.367
I Formation Power HB Sweep Weak,5.53,172,,,,0.57,-0.881
Goal Line Normal HB Pitch Weak,5.35,104,,,,,0.092
Weak I Big WR Post TE Out,5.3,235,3.15,3.8,4.64,,0.33
I Formation 3WR HB Inside Weak,5.28,757,,,,0.65,0.081
Split Backs Normal Weak Pitch Sweep,5.27,72,,,,1.33,-0.616
Strong I Big HB Dive Strong,5.24,87,,,,1.14,1.167
I Formation 3WR WR Out,5.23,749,3.16,4.91,0.8,1.2,0.408
Singleback Normal Quick Slant,5.08,62,3.84,1.61,6.45,3.23,0.986
Split Backs Normal Posts,5.06,189,1.17,6.25,5.73,1.56,0.26
Strong I Big HB Off Tackle,5.05,55,,,,,0.014
I Formation Twin WR Quick Outs,4.92,409,3.28,4.15,0.73,0.73,0.951
I Formation 3WR FL Post,4.9,554,2.01,3.95,7.54,0.54,0.406
Singleback Normal TE Quick Out,4.81,239,3.2,2.9,4.15,2.49,0.948
Shotgun Normal HB Sweep,4.71,63,,,,,0.19
Weak I Normal WR Corner TE Middle,4.64,1054,1.95,3.86,6.5,0.66,0.151
I Formation Power Play Action HB Downfield,4.63,924,0.91,5.38,7.1,0.65,0.287
I Formation Normal PA Fullback Flat,4.63,690,4.15,1.87,1.43,3.59,-0.35
I Formation Power PA Flats,4.63,799,3.38,2.48,3.48,0.5,0.17
I Formation Normal HB Draw,4.6,347,,,,,0.138
Singleback Big Off Tackle Strong,4.6,268,,,,,0.598
Goal Line Normal HB Weak,4.55,76,,,,,0.37
Singleback Empty 4 TE Corner,4.51,87,1.27,3.45,10.34,,-0.216
Singleback Big HB Pitch Weak,4.48,60,,,,,-0.422
Weak I Big HB Dive Strong,4.44,52,,,,,1.475
Singleback Slot Strong HB Strong Inside,4.34,126,,,,0.78,1.019
I Formation 3WR Slot Short WR Deep,4.34,950,1.69,3.87,5.97,0.63,0.174
Goal Line Normal HB Outside Strong,4.32,87,,,,,-0.248
Goal Line Normal HB Toss Strong,4.31,136,,,,,1.635
Goal Line Normal PA TE Drag,4.22,94,2.96,3.16,1.05,,-0.236
I Formation Normal Max Protect,4.19,704,1.64,3.8,5.49,0.99,0.206
Goal Line Normal HB Dive,4.18,103,,,,0.93,-0.256
Singleback Normal WR Quick In,4.11,89,3.81,1.12,2.25,,0.234
Weak I Normal HB Inside Strong,4.09,196,,,,1.01,-0.453
Strong I Normal HB Off Tackle Strong,4.09,537,,,,,0.323
Singleback Big HB Inside Strong,4.08,338,,,,,0.117
I Formation Normal HB Counter,4.06,187,,,,,-0.018
Weak I Normal Skinny Posts,4.04,538,3.04,2.4,1.85,1.85,-0.248
I Formation 3WR HB Inside Strong,4.04,538,,,,,0.085
Shotgun 5 Wide Slot Drag,4.02,57,3.42,1.75,1.75,1.75,-1.022
I Formation Power HB Draw,3.98,63,,,,1.56,-1.367
I Formation Twin WR Hook Ins,3.96,49,1.62,3.92,3.92,,-0.823
Split Backs 3 Wide Dive Right,3.93,180,,,,,0.148
Singleback Normal HB Release Mid,3.93,217,-1.92,8.76,6.91,0.92,0.579
I Formation Normal HB Toss Weak,3.87,52,,,,,-1.144
Singleback Empty 4 Curl Flats,3.76,50,1.31,4.0,4.0,,-0.761
Singleback Normal PA Rollout,3.76,55,-0.94,7.27,5.45,1.82,-0.091
Singleback Big Ins and Outs,3.69,349,0.21,6.27,2.28,0.85,-0.025
I Formation 3WR PA Fullback Flat,3.68,272,2.59,2.93,0.37,2.2,-0.395
Goal Line Normal HB Off Tackle,3.65,96,,,,1.03,-0.691
Strong I Normal HB Dive Strong,3.57,289,,,,,0.591
I Formation Big HB Outside Weak,3.5,32,,,,,-1.205
Strong I Big Backfield Drag,3.47,335,1.81,2.06,5.6,0.59,0.214
Weak I Big HB Off Tackle Strong,3.43,44,,,,,-0.575
Strong I Normal WR Post TE Out,3.42,362,1.2,2.74,6.3,,0.01
Singleback Empty 4 Short Posts,3.41,124,2.48,1.61,3.23,0.81,-1.495
Split Backs 3 Wide Drag In,3.41,96,0.96,2.08,9.38,,-1.146
Singleback Normal HB Dive Strong,3.39,115,,,,0.87,0.709
Strong I Normal Short Attack,3.37,122,1.93,3.25,0.81,,-0.644
Split Backs 3 Wide Dive Left,3.36,288,,,,,0.038
Shotgun 5 Wide Parallel Slants,3.34,237,1.74,2.94,2.52,,-0.098
Split Backs 3 Wide WR Quick Out,3.28,393,2.06,2.54,1.78,0.76,-0.3
Weak I Big Off Tackle Weak,3.27,45,,,,,-0.276
Strong I Normal Counter Strong,3.27,127,,,,,0.088
Split Backs 3 Wide Slot Post,3.17,262,-0.52,3.42,11.41,0.76,0.425
I Formation 3WR Backfield Flats,3.17,213,1.37,1.41,7.98,1.41,0.358
Strong I Normal Quick Hooks,3.02,62,2.35,1.59,1.59,,-0.269
Strong I Big TE Post,2.97,377,-2.23,5.26,13.16,0.26,0.724
Shotgun 2 RB 3 WR WR Curl,2.97,263,0.75,3.8,2.66,,-1.291
Singleback Big PA Curls,2.95,75,0.16,3.9,5.19,,-0.432
Shotgun Normal FL Slant,2.94,64,-0.85,6.25,3.12,1.56,-0.94
Shotgun 2 RB 3 WR FB In,2.83,258,-1.41,3.49,13.57,0.78,-1.407
I Formation Big TE Sneak Out,2.8,41,,7.32,,,-0.082
I Formation 3WR Weak Flood,2.71,71,,,,,-1.11
Shotgun Normal TE Out,2.66,136,0.29,4.35,1.45,,-0.89
I Formation Normal Cross In,2.62,60,,,,,0.97
Shotgun 2 RB 3 WR RB Curls,2.62,250,-0.76,4.69,5.47,0.39,-1.198
I Formation Twin WR Slot Hitch,2.62,63,0.6,3.17,3.17,1.59,1.435
Singleback Slot Strong HB Checkdown,2.59,44,-3.25,9.09,4.55,2.27,-0.67
Singleback Big WR Deep,2.57,506,-2.47,3.72,16.63,0.59,0.118
Shotgun 4 Wide Slot Drag,2.56,47,0.57,2.08,6.25,,0.538
Singleback Big Corner Ins,2.54,142,-1.64,3.45,13.1,,0.595
Shotgun 2 RB 3 WR Shotgun Sweep,2.53,509,,,,0.39,-0.739
Shotgun 4 Wide In and Out,2.49,49,-1.09,2.04,14.29,,1.621
Singleback Normal Post Corner,2.47,34,-2.33,2.94,17.65,,0.639
Shotgun 5 Wide Slot Cross,2.43,43,,,6.82,,0.728
Empty 4 Wide Spread Flats,2.41,122,-0.49,4.84,2.42,1.61,-0.949
Shotgun 2 RB 3 WR Shotgun Dive,2.37,280,,,,,0.172
I Formation 3WR Slot Corner Short,2.28,199,-0.78,5.53,1.01,,-0.073
Singleback Normal SE Quick Hit,2.22,55,-0.97,5.45,1.82,,0.095
I Formation Normal HB Toss Strong,2.2,49,,,,,-1.527
Empty 4 Wide Spread Corner Post,2.12,164,-3.76,7.88,7.88,,-0.08
Singleback Normal FL Post,2.1,88,-3.39,6.82,9.09,,-0.001
Singleback 4 Wide Post and Drag,2.06,80,,,17.28,1.23,-0.584
I Formation Normal TE Flag,2.05,53,-7.72,9.09,23.64,,-0.835
I Formation Normal PA Outside Curls,2.02,309,-0.99,2.89,8.36,0.32,-1.042
Shotgun Normal HB Dive,2.01,69,,,,,-0.531
Singleback Slot Strong Overload Strong,2.0,36,,,8.33,,-0.357
I Formation Normal Curl & Post,1.94,129,-0.47,3.1,4.65,0.78,-0.172
I Formation Normal FL Hook,1.9,374,-0.66,3.73,3.47,0.8,-0.898
Shotgun Normal HB Delay,1.86,42,,,,,-3.072
Split Backs Normal Skinny Post Corner,1.84,102,0.28,2.88,0.96,0.96,0.087
Singleback Normal WR Post,1.84,37,-2.66,5.41,8.11,,-1.455
Shotgun Normal Short Attack,1.78,40,-4.37,7.5,10.0,,-0.213
Shotgun Normal Double Outs,1.74,99,-1.15,5.05,1.01,,-0.925
Split Backs 3 Wide Off Tackle Strong,1.69,191,,,,,-0.916
Split Backs Normal WR Post,1.67,61,-1.6,3.28,8.2,3.28,-0.599
Split Backs 3 Wide WR Post,1.63,65,-2.04,1.54,15.38,,-1.087
I Formation 3WR SE Post,1.62,305,-2.06,5.25,4.26,,-1.157
Singleback Big HB Curls TE Deep,1.59,86,-2.92,5.75,6.9,,-0.632
Shotgun 2 RB 3 WR FL Drag,1.57,185,-0.61,3.78,1.08,0.54,-1.837
Split Backs Normal Overload Strong,1.5,34,,,2.94,,-1.392
Shotgun 2 RB 3 WR WR Hooks,1.48,221,-1.66,4.52,3.62,,-1.616
I Formation Normal FB Middle,1.48,61,,,16.13,,0.089
Singleback Normal Slot WR Cross,1.45,31,-5.35,6.45,16.13,,0.074
Strong I Normal HB Power Strong,1.36,37,,,,,0.051
Weak I Big TE Drag,1.21,42,,11.9,,,-0.754
Singleback Slot Strong Skinny Posts,1.21,41,,,2.38,,-0.362
Strong I Big WR Quick In,1.18,68,,4.41,,,0.659
Split Backs 3 Wide RB Curls,1.14,36,-8.63,5.56,33.33,,0.024
Split Backs 3 Wide Off Tackle Weak,1.07,44,,,,,-1.904
Singleback 4 Wide Clear Center,0.62,45,-4.59,2.22,20.0,2.22,-0.708
I Formation 3WR Slot Corner Long,0.53,297,-8.46,6.4,26.26,,-1.433
I Formation Normal SE Post,0.47,240,-8.77,4.17,34.17,1.25,-1.116
Singleback Big TE Flat Curl,0.25,83,-4.03,1.2,18.07,,-1.937
Shotgun 4 Wide Slot Curl,-0.23,31,-14.46,19.35,12.9,3.23,-2.557
Singleback Empty 4 Slot Crosses,-0.47,70,-8.85,2.86,32.86,1.43,-0.894
Strong I Normal PA All Go,-0.74,31,-15.73,3.23,64.52,,-2.431
Singleback Big Waggle Post,-1.09,44,-12.67,4.55,43.18,,-0.692
I Formation 3WR HB Toss Strong,-1.34,156,,,,,-2.386
I Formation 3WR WR Post,-1.56,57,,,22.81,1.75,-1.259
I Formation Power Play Action Bomb,-1.59,70,-13.62,4.29,45.71,,-2.699
I Formation Normal PA Streaks,-1.81,163,-14.98,3.05,54.88,,-1.727
Weak I Normal All Go,-3.36,33,-18.58,3.03,63.64,,-1.89
Shotgun 2 RB 3 WR Strong Deep,-3.74,72,-19.48,6.94,54.17,,-1.705
Shotgun Normal Deep Weak In and Out,-4.17,36,,,50.0,,-2.366
Shotgun 5 Wide 5 WR All Go,-6.52,31,,,87.1,3.23,-2.24
