OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Singleback Slot Strong HB Counter,8.16,101,,,,,1.484
Weak I Normal HB Inside Weak,7.52,186,,,,0.53,0.796
Singleback Normal HB Counter Weak,6.96,109,,,,,1.485
I Formation Normal HB Dive,6.87,195,,,,,0.722
Weak I Normal Fullback Counter Weak,6.25,43,,,,,1.18
I Formation Normal HB Blast,6.17,233,,,,,0.418
Singleback Normal HB Dive Weak,6.16,68,,,,1.45,1.481
I Formation Normal FL Hitch,5.91,357,5.7,1.96,1.12,0.28,0.212
I Formation Power HB Strong Outside,5.89,172,,,,,0.661
Singleback 4 Wide Quick Outs,5.88,340,5.07,2.62,2.04,1.17,0.672
Singleback Normal HB Inside Weak,5.75,65,,,,1.49,1.834
Singleback Slot Strong HB Strong Inside,5.71,58,,,,1.69,1.859
Singleback Normal TE Quick Out,5.55,104,4.93,1.92,2.88,,1.27
I Formation 3WR HB Inside Weak,5.38,360,,,,0.27,0.339
Shotgun Normal HB Sweep,5.3,33,,,,,0.5
I Formation Normal HB Draw,5.14,75,,,,,-0.324
Shotgun Normal HB Flare,5.09,356,3.27,2.51,6.69,0.84,0.33
Split Backs Normal Posts,5.07,53,-3.54,14.81,3.7,,0.874
I Formation Normal HB Counter,5.06,36,,,,,0.675
Split Backs 3 Wide Dive Left,5.04,97,,,,,0.217
Singleback Normal WR Quick In,5.0,45,,,4.44,,0.905
Weak I Normal WR Corner TE Middle,4.82,336,2.58,3.56,5.34,1.19,-0.034
Strong I Big HB Dive Strong,4.73,37,,,,,1.17
Weak I Big WR Post TE Out,4.65,122,3.49,2.42,3.23,,0.901
Singleback Empty 4 TE Corner,4.56,86,1.28,3.49,10.47,,0.056
I Formation Power HB Sweep Weak,4.52,58,,,,,-1.561
I Formation 3WR HB Inside Strong,4.52,269,,,,,0.865
Strong I Normal HB Off Tackle Strong,4.3,114,,,,,0.278
Singleback Big Off Tackle Strong,4.29,82,,,,,1.176
I Formation Twin WR Hard Slants,4.28,164,1.4,4.82,4.22,,0.298
Weak I Normal HB Inside Strong,4.15,48,,,,,-1.457
I Formation 3WR WR Out,4.12,328,2.65,3.63,0.6,,0.754
Split Backs 3 Wide Dive Right,4.01,78,,,,,0.266
I Formation 3WR FL Post,3.99,264,-0.1,5.26,8.65,0.75,0.328
I Formation Twin WR Quick Outs,3.97,116,2.52,3.45,0.86,,-0.176
Shotgun 5 Wide Slot Drag,3.93,54,3.23,1.85,1.85,1.85,-0.457
Shotgun 2 RB 3 WR Shotgun Dive,3.77,128,,,,,0.776
Singleback Empty 4 Curl Flats,3.76,50,1.31,4.0,4.0,,-0.522
Strong I Big Backfield Drag,3.73,128,3.4,0.77,3.08,0.77,0.321
Singleback Big HB Inside Strong,3.72,106,,,,,-0.811
I Formation 3WR Backfield Flats,3.72,110,,,9.09,0.91,0.858
Singleback Big Ins and Outs,3.54,126,1.09,4.72,1.57,,-0.24
Singleback Normal HB Dive Strong,3.54,46,,,,,1.746
Singleback Empty 4 Short Posts,3.48,120,2.5,1.67,3.33,0.83,-1.047
Split Backs 3 Wide WR Quick Out,3.38,177,2.37,2.25,1.69,0.56,-0.116
I Formation 3WR Slot Short WR Deep,3.37,461,0.79,3.25,6.49,0.22,0.077
I Formation Normal PA Fullback Flat,3.28,186,1.7,3.19,1.6,1.06,-1.403
Shotgun 5 Wide Parallel Slants,3.23,228,1.52,3.06,2.62,,0.191
Weak I Normal Skinny Posts,3.18,133,2.62,1.49,1.49,,-0.345
Shotgun 2 RB 3 WR WR Curl,3.06,125,0.48,4.0,4.0,,-0.898
I Formation Power PA Flats,3.05,265,0.9,3.36,3.73,,0.051
Strong I Big TE Post,3.04,142,-1.52,3.5,15.38,0.7,0.096
Strong I Normal HB Dive Strong,2.99,66,,,,,0.733
Singleback Big Corner Ins,2.96,51,-2.72,5.88,13.73,,0.578
I Formation Normal Max Protect,2.87,206,-2.61,7.21,8.65,1.44,-0.343
I Formation 3WR Slot Corner Short,2.8,86,,3.49,,,-0.58
Singleback Normal HB Release Mid,2.79,121,-3.77,9.09,8.26,,0.74
Strong I Normal Short Attack,2.73,33,,,3.03,,-2.145
Shotgun 2 RB 3 WR RB Curls,2.69,124,0.08,3.15,6.3,,-0.702
I Formation 3WR Weak Flood,2.64,38,,,,,0.038
Shotgun 2 RB 3 WR Shotgun Sweep,2.63,230,,,,0.43,-0.905
Shotgun 4 Wide Slot Drag,2.62,46,0.59,2.13,6.38,,1.057
Strong I Normal WR Post TE Out,2.52,97,0.54,1.03,9.28,,-0.689
Shotgun 4 Wide In and Out,2.49,49,-1.09,2.04,14.29,,1.805
Empty 4 Wide Spread Flats,2.44,119,-0.55,4.96,2.48,1.65,-0.573
Shotgun 5 Wide Slot Cross,2.43,43,,,6.82,,1.147
I Formation Power Play Action HB Downfield,2.38,339,-3.78,8.21,8.5,1.17,-0.022
Split Backs 3 Wide Slot Post,2.34,114,-2.06,4.35,11.3,,0.562
Shotgun 2 RB 3 WR FB In,2.3,130,-1.7,3.85,10.77,,-1.022
I Formation Normal Curl & Post,2.25,32,-1.68,6.25,3.12,,1.157
I Formation 3WR PA Fullback Flat,2.09,137,,2.9,,,-0.526
I Formation 3WR SE Post,2.02,143,-1.77,5.59,4.2,,-0.803
Empty 4 Wide Spread Corner Post,2.01,158,-4.13,8.18,8.18,,0.239
I Formation Normal FL Hook,1.99,86,-0.87,4.65,2.33,,-1.002
Singleback 4 Wide Post and Drag,1.98,79,,,17.5,1.25,-0.365
Shotgun Normal Double Outs,1.89,44,,4.55,,,0.313
Split Backs 3 Wide Drag In,1.85,48,,,14.58,,-1.932
Shotgun Normal TE Out,1.78,67,-1.15,4.48,2.99,,-0.572
Singleback Big WR Deep,1.77,186,-4.16,4.79,17.02,1.06,-0.956
I Formation Normal PA Outside Curls,1.64,89,-2.3,3.37,11.24,,-1.211
Shotgun 2 RB 3 WR WR Hooks,1.54,109,-2.55,5.5,5.5,,-1.769
Shotgun 2 RB 3 WR FL Drag,1.44,91,-0.69,3.3,2.2,1.1,-1.974
Singleback Normal FL Post,1.28,43,-4.51,4.65,16.28,,0.148
Singleback 4 Wide Clear Center,0.62,45,-4.59,2.22,20.0,2.22,-0.421
I Formation 3WR Slot Corner Long,0.53,146,-8.54,6.85,25.34,,-1.264
Split Backs 3 Wide Off Tackle Strong,-0.06,98,,,,,-0.817
Shotgun 4 Wide Slot Curl,-0.23,31,-14.46,19.35,12.9,3.23,-1.879
Singleback Empty 4 Slot Crosses,-0.26,65,-8.62,3.08,32.31,1.54,-0.48
I Formation 3WR HB Toss Strong,-1.26,77,,,,,-2.005
I Formation Normal SE Post,-1.91,80,-14.04,3.75,47.5,1.25,-1.132
I Formation Power Play Action Bomb,-2.52,31,-15.28,3.23,51.61,,-3.004
I Formation 3WR WR Post,-3.19,32,,,34.38,,-1.318
I Formation Normal PA Streaks,-3.23,38,-17.21,2.56,58.97,,-1.989
Shotgun 2 RB 3 WR Strong Deep,-6.16,32,,,68.75,,-1.261
Shotgun 5 Wide 5 WR All Go,-6.52,31,,,87.1,3.23,-1.63
