OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Singleback Slot Strong HB Counter,8.57,139,,,,0.71,1.467
Goal Line Normal HB Pitch Weak,7.46,37,,,,,1.637
Weak I Normal HB Inside Weak,7.3,244,,,,0.41,0.547
Split Backs Normal Weak Pitch Sweep,7.15,33,,,,,0.07
Singleback Big HB Pitch Weak,7.12,34,,,,,-0.604
I Formation Normal HB Dive,6.77,238,,,,,0.687
Singleback Normal HB Counter Weak,6.55,148,,,,,1.644
I Formation Normal HB Blast,6.32,294,,,,,0.292
Singleback Normal HB Inside Weak,6.2,108,,,,0.89,1.991
Weak I Normal Fullback Counter Weak,6.15,61,,,,,0.612
Singleback Normal HB Dive Weak,6.03,98,,,,1.0,1.332
Singleback Slot Strong HB Strong Inside,5.87,85,,,,2.33,1.605
I Formation Power HB Strong Outside,5.83,195,,,,,0.179
Singleback Normal TE Quick Out,5.62,149,4.47,2.68,3.36,0.67,1.165
Split Backs 3 Wide Dive Left,5.62,126,,,,,0.224
Shotgun Normal HB Sweep,5.59,41,,,,,0.33
I Formation 3WR HB Inside Weak,5.52,528,,,,0.38,0.32
Singleback 4 Wide Quick Outs,5.44,471,4.65,2.3,2.51,1.26,1.109
Weak I Big HB Dive Strong,5.36,36,,,,,1.965
Strong I Big HB Dive Strong,5.3,47,,,,,1.431
I Formation Normal FL Hitch,5.29,464,5.06,1.71,1.28,0.21,0.207
I Formation Normal HB Draw,5.24,87,,,,,-0.592
Shotgun Normal HB Flare,5.08,513,2.92,3.09,6.58,0.77,0.482
I Formation Twin WR Hard Slants,5.02,200,1.87,5.45,4.46,0.5,0.325
Singleback Normal WR Quick In,4.99,75,,,2.63,,1.194
Weak I Normal WR Corner TE Middle,4.95,433,3.05,3.22,4.83,1.15,0.177
Singleback Normal Quick Slant,4.88,42,,,2.33,2.33,0.358
I Formation Power HB Sweep Weak,4.85,71,,,,,-1.483
I Formation Normal HB Counter,4.84,43,,,,,0.3
Split Backs Normal Posts,4.83,68,-1.74,11.59,2.9,,0.695
Goal Line Normal HB Weak,4.76,37,,,,,1.653
I Formation 3WR HB Inside Strong,4.75,361,,,,,0.704
Singleback Big Off Tackle Strong,4.66,100,,,,,1.031
Shotgun 5 Wide Slot Drag,4.65,75,2.65,4.0,2.67,1.33,-0.033
Shotgun Normal HB Dive,4.55,38,,,,,0.854
Weak I Big WR Post TE Out,4.53,163,3.13,2.42,4.24,,0.791
Goal Line Normal HB Toss Strong,4.51,45,,,,,3.497
Strong I Normal HB Off Tackle Strong,4.51,145,,,,,0.362
I Formation Twin WR Quick Outs,4.49,138,3.06,3.62,0.72,,-0.484
Weak I Normal HB Inside Strong,4.32,57,,,,,-1.337
Split Backs 3 Wide Dive Right,4.29,95,,,,,0.062
Shotgun 2 RB 3 WR Shotgun Dive,4.2,153,,,,,0.715
Singleback Big HB Inside Strong,4.18,128,,,,,-0.626
I Formation 3WR FL Post,4.13,332,0.82,4.49,7.19,0.6,0.151
