OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Singleback Normal HB Dive Weak,9.94,98,,,,4.95,1.301
Weak I Normal HB Inside Weak,9.41,228,,,,1.3,1.037
Singleback Normal HB Inside Weak,7.86,96,,,,1.02,2.104
Singleback Normal HB Counter Weak,7.84,156,,,,0.64,1.656
Singleback Slot Strong HB Counter,7.84,136,,,,,1.603
I Formation Normal HB Dive,7.6,228,,,,,0.823
I Formation Normal HB Blast,7.47,280,,,,0.7,0.715
Strong I Big HB Dive Strong,7.09,44,,,,4.55,1.241
Weak I Normal Fullback Counter Weak,6.88,59,,,,,1.235
I Formation Power HB Strong Outside,6.86,537,,,,1.09,0.332
Goal Line Normal HB Pitch Weak,6.83,35,,,,,0.846
Shotgun Normal HB Sweep,6.29,41,,,,,0.634
I Formation 3WR HB Inside Weak,6.24,413,,,,0.72,0.395
I Formation Normal FL Hitch,6.22,414,5.54,2.88,0.96,1.2,0.179
Singleback 4 Wide Quick Outs,5.89,524,4.65,3.2,2.45,2.45,0.991
I Formation Normal HB Draw,5.82,88,,,,,-0.175
Singleback Slot Strong HB Strong Inside,5.76,74,,,,1.33,1.933
Shotgun Normal HB Flare,5.59,494,3.59,3.0,6.6,1.8,0.666
Singleback Normal Quick Slant,5.49,36,4.42,2.7,2.7,2.7,0.262
Singleback Normal HB Dive Strong,5.44,62,,,,,2.068
Split Backs 3 Wide Dive Left,5.22,118,,,,,0.379
I Formation 3WR HB Inside Strong,5.1,318,,,,,0.788
Singleback Normal TE Quick Out,5.0,135,4.38,1.47,3.68,,1.272
I Formation Power HB Sweep Weak,4.99,150,,,,0.67,-1.035
Weak I Normal WR Corner TE Middle,4.95,387,2.9,3.35,5.15,1.03,-0.016
I Formation Normal HB Counter,4.9,40,,,,,0.346
Strong I Normal HB Off Tackle Strong,4.85,133,,,,,0.226
I Formation Power HB Dive Weak,4.77,82,,,,1.2,-1.649
Strong I Normal HB Dive Strong,4.69,76,,,,1.3,0.672
I Formation Twin WR Hard Slants,4.59,190,1.86,4.69,4.17,1.04,0.484
Singleback Big HB Inside Strong,4.59,117,,,,,-0.529
Shotgun Normal HB Dive,4.53,35,,,,,1.157
Weak I Big WR Post TE Out,4.53,137,2.26,4.32,2.88,,1.085
Singleback Normal WR Quick In,4.47,58,3.63,1.72,3.45,,1.064
Singleback Big Off Tackle Strong,4.4,85,,,,,1.273
Split Backs Normal Posts,4.38,65,-3.53,13.64,3.03,,0.616
Goal Line Normal HB Toss Strong,4.38,37,,,,,2.774
I Formation 3WR WR Out,4.32,378,2.1,4.96,0.52,0.52,0.771
Shotgun 2 RB 3 WR Shotgun Dive,4.3,146,,,,,0.65
I Formation Power HB Draw,4.17,68,,,,1.45,-1.077
Weak I Normal HB Inside Strong,4.11,55,,,,,-1.344
Shotgun 2 RB 3 WR Shotgun Sweep,4.11,271,,,,0.72,-0.523
Shotgun Normal FL Slant,4.05,38,1.18,5.26,2.63,2.63,-0.322
Singleback Empty 4 TE Corner,3.93,141,0.38,2.8,13.29,0.7,0.232
Shotgun 5 Wide Middle Curls,3.91,32,,3.12,,3.12,0.859
I Formation Twin WR Quick Outs,3.87,133,2.25,3.73,0.75,,0.096
Shotgun 5 Wide Slot Drag,3.82,76,3.53,1.32,1.32,2.63,-0.128
I Formation 3WR FL Post,3.78,325,-0.24,4.89,9.17,0.92,0.257
Split Backs 3 Wide Dive Right,3.69,96,,,,,0.126
Shotgun 5 Wide Parallel Slants,3.51,358,2.0,3.04,1.93,1.1,0.023
Singleback Normal HB Release Mid,3.46,142,-2.88,9.15,7.75,,0.843
Singleback Empty 4 Short Posts,3.43,226,0.77,4.85,2.2,1.76,-0.482
Strong I Big Backfield Drag,3.4,152,3.04,0.65,3.25,0.65,0.223
Singleback Big Ins and Outs,3.4,131,1.05,4.55,1.52,,-0.424
Singleback Slot Strong HB Checkdown,3.39,38,-3.29,7.89,13.16,2.63,-0.097
Split Backs 3 Wide WR Quick Out,3.39,200,2.58,1.99,1.49,0.5,-0.172
Empty 4 Wide Spread Corner Post,3.37,253,-1.31,6.3,7.87,0.79,0.408
Strong I Big TE Post,3.32,164,-0.87,3.64,13.33,0.61,0.234
I Formation 3WR Backfield Flats,3.3,132,,,10.61,0.76,0.732
I Formation 3WR Slot Short WR Deep,3.27,526,0.24,3.8,7.02,0.38,-0.156
Weak I Normal Skinny Posts,3.15,156,2.38,1.9,1.27,,-0.39
Goal Line Normal PA TE Drag,3.13,38,,2.63,,,-0.577
I Formation Normal Max Protect,2.95,239,-1.86,6.22,8.3,1.24,-0.421
I Formation Normal PA Fullback Flat,2.88,228,1.63,2.61,1.3,0.87,-1.299
Shotgun 4 Wide In and Out,2.7,80,-2.93,6.17,12.35,,0.434
Singleback Normal PA Rollout,2.68,38,-5.73,10.53,13.16,2.63,0.183
Singleback Empty 4 Curl Flats,2.67,82,0.77,2.44,4.88,,-0.36
I Formation Power PA Flats,2.66,771,-0.74,4.37,6.56,0.39,-0.417
Singleback Big Corner Ins,2.65,54,-4.23,7.41,14.81,,0.435
Shotgun 2 RB 3 WR WR Curl,2.61,152,0.52,3.27,3.27,,-0.841
Strong I Normal Short Attack,2.6,35,,,2.86,,-2.454
I Formation 3WR PA Fullback Flat,2.6,155,,2.56,,0.64,-0.513
I Formation 3WR Weak Flood,2.6,39,,,,,0.038
Strong I Normal WR Post TE Out,2.59,114,1.0,0.88,7.89,,-0.699
Shotgun 2 RB 3 WR FB In,2.58,148,-1.5,4.05,10.81,,-1.131
Shotgun 2 RB 3 WR RB Curls,2.56,144,-0.33,3.4,6.8,,-0.95
Shotgun Normal Double Outs,2.54,63,,4.62,,3.08,0.051
Split Backs 3 Wide Slot Post,2.53,128,-1.31,3.88,10.08,,0.566
I Formation 3WR Slot Corner Short,2.5,94,0.23,4.26,1.06,,-0.756
Shotgun 5 Wide Slot Cross,2.37,69,0.56,1.43,7.14,1.43,0.353
Shotgun 4 Wide Slot Drag,2.32,68,0.75,1.45,5.8,,0.659
Shotgun Normal TE Out,2.19,85,-1.37,5.88,2.35,,-0.044
Shotgun 4 Wide All Curls,2.17,42,-0.73,4.76,2.38,,-0.314
Singleback Normal SE Quick Hit,2.16,31,-3.86,9.68,3.23,,-0.1
I Formation Normal Curl & Post,2.16,37,-1.73,5.41,5.41,,1.617
Empty 4 Wide Spread Flats,2.09,197,-0.46,3.96,2.97,0.99,-0.054
I Formation Power Play Action HB Downfield,2.06,901,-3.66,7.15,9.24,1.32,-0.388
Singleback 4 Wide Post and Drag,2.0,123,-1.63,1.61,15.32,1.61,0.348
Singleback 4 Wide WR Crosses,1.93,44,,,11.36,,0.864
I Formation 3WR SE Post,1.79,168,-1.64,4.73,4.73,,-0.895
Split Backs 3 Wide Off Tackle Weak,1.79,33,,,,,-1.357
Split Backs 3 Wide Drag In,1.75,56,-1.83,1.79,14.29,,-1.748
I Formation Normal FL Hook,1.71,95,-1.32,4.21,4.21,,-1.142
Singleback Big WR Deep,1.64,195,-4.43,4.57,18.27,1.02,-0.952
Singleback Normal FL Post,1.58,55,-3.92,5.45,12.73,,-0.362
Singleback Slot Strong Overload Strong,1.47,32,,,9.38,,0.13
I Formation Normal PA Outside Curls,1.46,107,-3.11,4.67,10.28,,-1.258
Shotgun 2 RB 3 WR WR Hooks,1.46,123,-3.29,6.5,5.69,,-1.766
Split Backs Normal Skinny Post Corner,1.41,31,,3.12,,3.12,1.349
Shotgun 2 RB 3 WR FL Drag,1.2,105,-0.64,2.83,1.89,0.94,-2.17
Shotgun 5 Wide FL Hook,1.15,41,-6.43,12.2,2.44,,-1.644
Split Backs 3 Wide WR Post,1.14,36,-3.63,2.78,16.67,,-2.893
Split Backs 3 Wide Off Tackle Strong,0.61,111,,,,,-0.617
Shotgun 5 Wide WR Curls,0.52,33,-5.44,6.06,12.12,,0.223
Singleback 4 Wide Clear Center,0.52,67,-4.15,1.49,19.4,1.49,-0.402
I Formation 3WR Slot Corner Long,0.38,165,-8.28,6.06,25.45,,-1.119
Singleback Slot Strong Skinny Posts,0.21,33,,,9.09,,0.029
Singleback Empty 4 Slot Crosses,-0.16,125,-9.79,3.2,38.4,1.6,0.011
Shotgun 4 Wide Slot Curl,-0.23,44,-11.18,13.64,13.64,2.27,-2.056
Singleback Empty 4 TE Drag WR Mix,-0.89,52,-10.12,9.43,16.98,,-0.852
I Formation 3WR HB Toss Strong,-1.26,87,,,,,-1.986
Empty 4 Wide Spread Deep Corner Post,-1.29,51,-11.36,5.88,31.37,,-0.406
I Formation Normal SE Post,-2.3,91,-14.62,3.3,49.45,1.1,-0.937
I Formation Power Play Action Bomb,-2.49,85,-15.7,2.35,56.47,,-2.544
I Formation Normal PA Streaks,-3.08,50,-17.03,1.96,60.78,,-2.147
I Formation 3WR WR Post,-3.09,33,,,33.33,,-1.285
Shotgun 2 RB 3 WR Strong Deep,-4.18,39,,,61.54,,-1.025
Shotgun 5 Wide 5 WR All Go,-6.18,39,,,84.62,2.56,-2.428
