OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
I Formation Normal FL Hitch,8.16,2833,8.09,2.54,0.9,4.52,0.776
Shotgun 5 Wide Middle Curls,7.23,31,,,,6.45,1.545
I Formation Twin WR Hard Slants,7.09,1268,5.42,4.13,3.04,3.04,0.941
Weak I Normal HB Inside Weak,6.93,1698,,,,2.54,0.697
Shotgun Normal HB Flare,6.16,2005,3.49,3.32,9.56,2.82,-0.137
Shotgun 5 Wide Slot Drag,6.12,68,5.87,1.47,2.94,4.41,-0.808
Singleback 4 Wide Quick Outs,6.0,365,5.29,2.45,2.17,1.36,0.378
I Formation 3WR WR Out,5.96,1153,4.48,4.22,0.69,1.81,0.347
Singleback Normal TE Quick Out,5.9,638,4.36,3.56,2.94,2.63,0.555
Singleback Normal Quick Slant,5.82,149,5.51,0.67,5.37,3.36,0.278
I Formation 3WR FL Post,5.77,864,3.59,3.21,7.0,1.72,0.24
Split Backs Normal Posts,5.67,405,3.14,4.4,5.13,1.47,0.812
Strong I Big TE Post,5.6,660,1.88,4.51,10.68,2.11,0.866
I Formation Big HB Counter Weak,5.59,31,,,,,-0.843
I Formation Power HB Dive Weak,5.47,183,,,,1.62,-0.459
I Formation Twin WR Quick Outs,5.38,806,4.22,3.56,0.49,0.98,0.889
Weak I Big WR Post TE Out,5.36,381,3.5,3.13,5.22,0.26,0.371
I Formation Normal HB Dive,5.32,1916,,,,1.43,0.727
Weak I Normal WR Corner TE Middle,5.31,2121,3.15,3.17,6.58,1.12,0.408
I Formation 3WR Backfield Flats,5.28,306,3.8,1.3,8.77,2.6,0.387
Singleback Empty 4 TE Corner,5.21,90,2.25,3.33,10.0,1.11,-0.286
I Formation 3WR Slot Short WR Deep,5.21,1412,2.51,4.15,6.27,1.62,0.275
Strong I Big HB Dive Strong,5.12,152,,,,0.65,0.899
I Formation Power HB Strong Outside,5.12,901,,,,0.33,0.253
Singleback Normal HB Release Mid,5.11,498,1.14,6.59,5.19,1.0,0.391
Singleback Normal HB Dive Strong,5.03,366,,,,0.54,0.684
I Formation Power Play Action HB Downfield,4.95,1658,2.03,4.37,6.41,1.08,0.185
I Formation Normal Max Protect,4.93,1422,2.68,3.47,5.76,1.32,0.461
Singleback Normal Slot WR Cross,4.86,64,1.46,4.69,7.81,1.56,-0.037
I Formation Power HB Sweep Weak,4.8,304,,,,0.65,-0.601
I Formation 3WR PA Fullback Flat,4.74,440,4.07,2.48,0.68,2.26,-0.165
