OffensivePlay,OffPlayType,OffPersonnel,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Singleback Normal FL Post,Medium Pass,1RB/1TE/3WR,4.65,5377,1.92,3.17,8.8,1.18,0.506
Singleback Normal Quick Slant,Short Pass,1RB/1TE/3WR,4.65,3054,3.91,1.45,3.98,2.17,0.169
Shotgun 5 Wide Slot Drag,Short Pass,5WR,4.57,1335,3.35,3.04,1.56,1.19,-0.544
Strong I Normal Short Attack,Short Pass,2RB/1TE/2WR,4.55,3122,4.4,1.3,1.39,1.17,-0.031
Strong I Big HB Off Tackle,Inside Run,2RB/2TE/1WR,4.55,1369,5.46,0.0,0.0,1.3,0.342
I Formation 3WR HB Inside Strong,Inside Run,2RB/3WR,4.49,14820,5.39,0.0,0.0,0.03,0.021
Strong I Big HB Dive Strong,Inside Run,2RB/2TE/1WR,4.43,2808,5.32,0.0,0.0,0.91,0.725
Split Backs Normal Skinny Post Corner,Short Pass,2RB/1TE/2WR,4.36,1752,3.92,1.79,1.17,1.45,0.422
Weak I Big Off Tackle Weak,Outside Run,2RB/2TE/1WR,4.35,1514,5.23,0.0,0.0,1.81,0.09
Shotgun 2 RB 3 WR RB Curls,Short Pass,2RB/3WR,4.33,6512,2.0,4.27,3.17,0.82,-0.969
Shotgun 2 RB 3 WR Shotgun Sweep,Outside Run,2RB/3WR,4.32,15020,5.18,0.0,0.0,0.2,0.199
I Formation Power HB Strong Outside,Outside Run,3RB/1TE/1WR,4.3,17927,5.16,0.0,0.0,0.81,0.234
Singleback Empty 4 Short Posts,Short Pass,1TE/4WR,4.29,1916,1.87,4.62,2.54,1.82,-0.592
Split Backs Normal Weak Pitch Sweep,Outside Run,2RB/1TE/2WR,4.24,1841,5.09,0.0,0.0,0.64,-0.011
Singleback Big HB Inside Strong,Inside Run,1RB/2TE/2WR,4.21,9065,5.05,0.0,0.0,0.34,0.273
I Formation 3WR Slot Corner Short,Short Pass,2RB/3WR,4.21,4068,2.85,3.27,1.24,1.1,-0.478
Strong I Normal WR Post TE Out,Medium Pass,2RB/1TE/2WR,4.18,7769,3.0,1.62,5.21,0.69,-0.162
I Formation Normal HB Draw,Inside Run,2RB/1TE/2WR,4.13,9514,4.96,0.0,0.0,0.06,0.185
Shotgun 2 RB 3 WR Shotgun Dive,Inside Run,2RB/3WR,4.12,8539,4.95,0.0,0.0,0.01,0.292
Strong I Normal HB Dive Strong,Inside Run,2RB/1TE/2WR,4.11,7650,4.93,0.0,0.0,0.69,-0.104
Split Backs Normal TE Curl,Short Pass,2RB/1TE/2WR,4.09,536,3.69,1.84,0.55,0.37,-0.238
