HasBall,"Game Clock","Ball @",Quarter,Down,YTG,OffensivePlay,DefensivePlay,YardsGained,"Home Score","Away Score",Text,QB1,RB1,RB2,FB2,FB1,TE1,TE2,WR1,WR3,WR2,WR4,WR5,LT1,LG1,C1,RG1,RT1,P1,LDE1,LDE2,DT1,DT2,RDE1,SLB1,MLB1,MLB2,WLB1,CB1,CB2,CB4,CB3,CB5,SS1,FS1,FS2,"Kick Holder1","Long Snapper1","Kick Returner1","Punt Returner1",Gunner10,Gunner7,Gunner2,Gunner6,Gunner1,Gunner8,Gunner3,Gunner4,Gunner9,Gunner5,Kickoffs1,"Field Goal Kicker1","ST Blocker8","ST Blocker5","ST Blocker4","ST Blocker1","ST Blocker2","ST Blocker3","ST Blocker6","ST Blocker7","ST Rusher4","ST Rusher1","ST Rusher2","ST Rusher3","ST Rusher11","ST Rusher10","ST Rusher9","ST Rusher6","ST Rusher5","ST Rusher7","ST Rusher8"
,15:00,,1,2,9,,,,0,0,"PIT has won the toss and elected to receive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD.,15:00,"SD. 35",1,6,10,Kickoff,"Kick Return",,0,0,"(15:00) 9-Lawrence Jowett kicks 74 yards from SD. 35 to PIT -9. 35-Robin Neal to PIT 30 for 40 yards. Tackle by 9-Lawrence Jowett.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#35 Robin Neal - WR",,"#32 Rodney Begley - LDE","#40 Matthew Bowen - FS","#59 Antonio Smith - DT","#94 Howard King - RDE","#96 Jess Miller - MLB","#36 Bruce Brubaker - SS","#52 Anthony Kaplan - RDE","#98 Willie Sanders - DT","#31 Arthur Cowles - CB","#64 Michael Clayton - LDE","#9 Lawrence Jowett - K",,,,,,,,,,,,,,,,,,,,
PIT,14:53,"PIT 30",1,1,10,"Singleback Slot Strong HB Counter","Nickel Blitz Stunt Blitz",-2,0,0,"1-10-PIT 30 (14:54) 45-Kenneth Parr ran to PIT 28 for -2 yards. Tackle by 59-Warren Waite.","#9 Philip Adair - QB","#45 Kenneth Parr - WR",,,,"#14 Roosevelt Younger - WR",,"#89 Gilbert Houchins - WR","#13 Rafael Hoffman - WR","#80 Bryan White - TE",,,"#58 Daniel Page - LT","#74 John Leblanc - LG","#71 Bradley Fulks - C","#51 Ron Futrell - C","#82 Joshua Nevarez - RT",,"#76 Billy Pierce - MLB",,"#51 Patrick Henderson - RDE","#73 Andrew Stapp - RDE","#61 Timothy Grant - RDE",,"#44 Scott Powell - WLB",,"#59 Warren Waite - RDE","#29 Alfred Allred - CB","#45 Bryant Boettcher - CB",,"#90 Aubrey Mooney - CB",,"#54 Juan Wagner - CB","#52 Fred Price - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIT,14:11,"PIT 28",1,2,12,"Singleback Normal HB Inside Weak","Nickel Blitz Stunt Blitz",-1,0,0,"2-12-PIT 28 (14:10) 35-Robin Neal ran to PIT 26 for -1 yards. Tackle by 59-Warren Waite.","#9 Philip Adair - QB","#35 Robin Neal - WR",,,,"#25 Calvin Scull - WR",,"#13 Rafael Hoffman - WR","#14 Roosevelt Younger - WR","#87 Paul Paquette - WR",,,"#58 Daniel Page - LT","#51 Ron Futrell - C","#71 Bradley Fulks - C","#74 John Leblanc - LG","#82 Joshua Nevarez - RT",,"#76 Billy Pierce - MLB",,"#94 Steven Early - MLB","#51 Patrick Henderson - RDE","#61 Timothy Grant - RDE",,"#56 Brain Vanegas - WLB",,"#59 Warren Waite - RDE","#29 Alfred Allred - CB","#45 Bryant Boettcher - CB",,"#32 Clyde Bazile - CB",,"#39 Allen Wrench - CB","#36 Ray Donovan - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIT,13:39,"PIT 26",1,3,14,"Strong I Big TE Post","4-3 Normal Double WR2",7,0,0,"3-14-PIT 26 (13:38) 9-Philip Adair pass complete to 35-Robin Neal to PIT 33 for 7 yards. Tackle by 39-Allen Wrench. Nice job by 35-Robin Neal on that route to lose his coverage. SD. 29-Alfred Allred was injured on the play. He looks like he should be able to return.","#9 Philip Adair - QB","#35 Robin Neal - WR",,,"#81 Richard Hill - FB","#14 Roosevelt Younger - WR","#80 Bryan White - TE","#13 Rafael Hoffman - WR",,,,,"#58 Daniel Page - LT","#51 Ron Futrell - C","#71 Bradley Fulks - C","#74 John Leblanc - LG","#82 Joshua Nevarez - RT",,"#76 Billy Pierce - MLB",,"#94 Steven Early - MLB","#51 Patrick Henderson - RDE","#61 Timothy Grant - RDE","#93 Roger Black - SS","#56 Brain Vanegas - WLB",,"#99 Vernon Sieber - WLB","#29 Alfred Allred - CB","#45 Bryant Boettcher - CB",,,,"#39 Allen Wrench - CB","#36 Ray Donovan - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIT,12:53,"PIT 33",1,4,7,Punt,"Punt Return",,0,0,"4-7-PIT 33 (12:52) 7-John Liddell punts 48 yards to SD. 19. 12-Charles Ellenburg to SD. 43 for 24 yards.",,,,,,,,,,,,,,,,,,"#7 John Liddell - P",,,,,,,,,,,,,,,,,,,"#66 Alfredo Owens - RT",,"#12 Charles Ellenburg - WR",,,"#10 Robert Smith - WR","#37 Herbert Nunez - CB","#81 Hallen Keller - WR",,"#36 Ray Donovan - CB","#90 Aubrey Mooney - CB",,"#45 Bryant Boettcher - CB",,,,"#74 John Leblanc - LG","#71 Bradley Fulks - C","#58 Daniel Page - LT","#51 Ron Futrell - C","#78 George Varner - C","#67 Antonio Mason - LG",,"#56 Brain Vanegas - WLB","#76 Billy Pierce - MLB","#61 Timothy Grant - RDE","#59 Warren Waite - RDE",,,,,,,
SD.,12:41,"SD. 43",1,1,10,"I Formation Normal Max Protect","Goal Line Attack #3",-8,0,0,"1-10-SD. 43 (12:42) 19-Lane Poffenberger sacked at SD. 35 for -8 yards (96-Jess Miller). Sack allowed by 87-Hot Toddy Ramirez. 87-Hot Toddy Ramirez completely missed his blocking assignment.","#19 Lane Poffenberger - QB","#14 Cornelius Weesner - WR",,,"#83 Bass Fisher - FB","#87 Hot Toddy Ramirez - WR",,"#89 Seamus Knopp - WR",,"#81 Hallen Keller - WR",,,"#79 Glenn Knight - C","#57 Robert Douglas - LG","#67 Jonathan Greer - RG","#62 William Jacobi - RT","#70 Jumbo Arce - RT",,"#29 Michael Pepe - LDE","#32 Rodney Begley - LDE","#63 Daniel Newsome - RDE","#98 Willie Sanders - DT","#94 Howard King - RDE","#96 Jess Miller - MLB","#1 Lawrence Pitt - SS",,"#97 John Hansen - MLB","#42 Michael Schroeder - CB","#20 Major Griggs - CB",,,,"#46 Alexander Robinson - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD.,11:57,"SD. 35",1,2,18,"Singleback Normal WR Quick In","4-3 Under Crash Right",9,0,0,"2-18-SD. 35 (11:56) 19-Lane Poffenberger pass complete to 12-Charles Ellenburg to SD. 44 for 9 yards. Tackle by 42-Michael Schroeder.","#19 Lane Poffenberger - QB","#14 Cornelius Weesner - WR",,,,"#87 Hot Toddy Ramirez - WR",,"#12 Charles Ellenburg - WR","#10 Robert Smith - WR","#89 Seamus Knopp - WR",,,"#79 Glenn Knight - C","#57 Robert Douglas - LG","#67 Jonathan Greer - RG","#62 William Jacobi - RT","#70 Jumbo Arce - RT",,"#29 Michael Pepe - LDE",,"#63 Daniel Newsome - RDE","#59 Antonio Smith - DT","#52 Anthony Kaplan - RDE","#40 Matthew Bowen - FS","#96 Jess Miller - MLB",,"#97 John Hansen - MLB","#42 Michael Schroeder - CB","#20 Major Griggs - CB",,,,"#26 James Leverett - SS","#46 Alexander Robinson - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD.,11:20,"SD. 44",1,3,9,"I Formation Twin WR Quick Outs","4-3 Normal Double WR3",,0,0,"3-9-SD. 44 (11:19) 19-Lane Poffenberger pass incomplete, intended for 10-Robert Smith.","#19 Lane Poffenberger - QB","#14 Cornelius Weesner - WR",,,"#83 Bass Fisher - FB","#10 Robert Smith - WR",,"#87 Hot Toddy Ramirez - WR",,"#12 Charles Ellenburg - WR",,,"#79 Glenn Knight - C","#57 Robert Douglas - LG","#67 Jonathan Greer - RG","#62 William Jacobi - RT","#70 Jumbo Arce - RT",,"#29 Michael Pepe - LDE",,"#63 Daniel Newsome - RDE","#59 Antonio Smith - DT","#52 Anthony Kaplan - RDE","#40 Matthew Bowen - FS","#96 Jess Miller - MLB",,"#97 John Hansen - MLB","#42 Michael Schroeder - CB","#20 Major Griggs - CB",,,,"#26 James Leverett - SS","#46 Alexander Robinson - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD.,11:16,"SD. 44",1,4,9,Punt,"Punt Return",61,0,0,"4-9-SD. 44 (11:17) 18-Claudio Arrington punts 61 yards to PIT -5.4-9-SD. 44 (11:17) 18-Claudio Arrington punts 61 yards to PIT -5. Touchback.",,,,,,,,,,,,,,,,,,"#18 Claudio Arrington - P",,,,,,,,,,,,,,,,,,,"#79 Glenn Knight - C",,"#35 Robin Neal - WR",,,"#59 Antonio Smith - DT","#36 Bruce Brubaker - SS","#96 Jess Miller - MLB",,"#98 Willie Sanders - DT","#64 Michael Clayton - LDE",,"#40 Matthew Bowen - FS",,,,"#66 Leonard Boggs - LT","#68 Roy Brown - LT","#62 William Jacobi - RT","#67 Jonathan Greer - RG","#70 Jumbo Arce - RT","#83 Bass Fisher - FB",,"#63 Daniel Newsome - RDE","#52 Anthony Kaplan - RDE","#94 Howard King - RDE","#97 John Hansen - MLB",,,,,,,
