HasBall,"Game Clock","Ball @",Quarter,Down,YTG,OffensivePlay,DefensivePlay,YardsGained,"Home Score","Away Score",Text,QB1,RB1,RB2,FB2,FB1,TE1,TE2,WR1,WR3,WR2,WR4,WR5,LT1,LG1,C1,RG1,RT1,P1,LDE1,LDE2,DT1,DT2,RDE1,SLB1,MLB1,MLB2,WLB1,CB1,CB2,CB4,CB3,CB5,SS1,FS1,FS2,"Kick Holder1","Long Snapper1","Kick Returner1","Punt Returner1",Gunner10,Gunner7,Gunner2,Gunner6,Gunner1,Gunner8,Gunner3,Gunner4,Gunner9,Gunner5,Kickoffs1,"Field Goal Kicker1","ST Blocker8","ST Blocker5","ST Blocker4","ST Blocker1","ST Blocker2","ST Blocker3","ST Blocker6","ST Blocker7","ST Rusher4","ST Rusher1","ST Rusher2","ST Rusher3","ST Rusher11","ST Rusher10","ST Rusher9","ST Rusher6","ST Rusher5","ST Rusher7","ST Rusher8"
,15:00,,1,3,10,,,,0,0,"ORL has won the toss and elected to defer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,15:00,"ORL 35",1,6,10,Kickoff,"Kick Return",,0,0,"(15:00) 15-Roger Love kicks 72 yards from ORL 35 to FLA -7. Touchback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#21 Gerald Fisher - RB",,"#57 John Robertson - WLB","#24 Travis Smith - CB","#99 Gregg Griffin - SS","#67 Matthew Oneal - RDE","#29 Mark Southern - CB","#94 Frank White - SLB","#38 John Ammerman - CB","#92 Michael Carter - LDE","#48 William Waldron - SS","#72 Cameron Wilson - DT","#15 Roger Love - K",,,,,,,,,,,,,,,,,,,,
FLA,15:00,"FLA 25",1,1,10,"Split Backs 3 Wide Dive Left","Nickel Strong 1 Deep Man Under",-1,0,0,"1-10-FLA 25 (15:00) 40-Roger Radke ran to FLA 24 for -1 yards. Tackle by 22-Donald Brown.","#9 Dale Baber - QB","#34 Stephen Hannah - RB",,,"#40 Roger Radke - FB",,,"#83 Daniel Conway - WR","#88 Joseph Baker - WR","#81 Don Bell - WR",,,"#77 John Avila - LT","#67 Gerard Combs - RT","#73 Dwight Brown - C","#64 John Pope - RG","#69 Archie Benninger - RT",,"#67 Lloyd Benally - RDE",,"#90 Steven Lamons - DT","#76 Wesley Carr - DT","#66 Zachary Harvey - RDE",,"#59 Bruce Koenig - MLB",,"#51 Paul Blackmon - WLB","#29 William Kimble - CB","#20 Brian Buono - CB",,"#22 Donald Brown - CB",,"#45 Michael Leblanc - FS","#26 Horacio Stephens - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLA,14:26,"FLA 24",1,2,11,"I Formation Normal FL Hitch","4-3 Normal Man OLB Flat Zone",3,0,0,"2-11-FLA 24 (14:25) 12-Dale Baber pass complete to 80-Daniel Conway to FLA 28 for 3 yards. Tackle by 29-William Kimble.","#9 Dale Baber - QB","#34 Stephen Hannah - RB",,,"#40 Roger Radke - FB","#87 Jose Moses - TE",,"#83 Daniel Conway - WR",,"#81 Don Bell - WR",,,"#77 John Avila - LT","#67 Gerard Combs - RT","#73 Dwight Brown - C","#64 John Pope - RG","#69 Archie Benninger - RT",,"#52 Sean Burrows - LDE",,"#90 Steven Lamons - DT","#76 Wesley Carr - DT","#66 Zachary Harvey - RDE","#57 Alton Miller - SLB","#59 Bruce Koenig - MLB",,"#51 Paul Blackmon - WLB","#29 William Kimble - CB","#20 Brian Buono - CB",,,,"#45 Michael Leblanc - FS","#26 Horacio Stephens - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLA,13:44,"FLA 28",1,3,7,"Singleback Normal WR Quick In","Nickel Normal Man Cover 2",,0,0,"3-7-FLA 28 (13:43) 12-Dale Baber pass Pass knocked down by 25-Brian Buono. incomplete, intended for 83-Don Bell.","#9 Dale Baber - QB","#34 Stephen Hannah - RB",,,,"#87 Jose Moses - TE",,"#83 Daniel Conway - WR","#88 Joseph Baker - WR","#81 Don Bell - WR",,,"#77 John Avila - LT","#67 Gerard Combs - RT","#73 Dwight Brown - C","#64 John Pope - RG","#69 Archie Benninger - RT",,"#52 Sean Burrows - LDE",,"#90 Steven Lamons - DT","#76 Wesley Carr - DT","#66 Zachary Harvey - RDE",,"#59 Bruce Koenig - MLB",,"#51 Paul Blackmon - WLB","#29 William Kimble - CB","#20 Brian Buono - CB",,"#22 Donald Brown - CB",,"#45 Michael Leblanc - FS","#26 Horacio Stephens - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLA,13:39,"FLA 28",1,4,7,Punt,"Punt Return",,0,0,"4-7-FLA 28 (13:40) 14-Calvin Rey punts 48 yards to ORL 24. Fair Catch by 32-Anthony Milan.",,,,,,,,,,,,,,,,,,"#14 Calvin Rey - P",,,,,,,,,,,,,,,,,,,"#69 Archie Benninger - RT",,"#32 Anthony Milan - RB",,,"#45 Michael Leblanc - FS","#57 Alton Miller - SLB","#35 Joshua Kimble - FS",,"#26 Horacio Stephens - FS","#29 William Kimble - CB",,"#46 Ronald Ames - FS",,,,"#67 Gerard Combs - RT","#72 Dennis Hamblin - LG","#77 John Avila - LT","#47 Manuel Aponte - RB","#30 Cecil Phillips - WR","#78 David Knapp - LT",,"#75 Aron Vermillion - LDE","#52 Sean Burrows - LDE","#52 Felix Foust - DT","#90 Steven Lamons - DT",,,,,,,
ORL,13:33,"ORL 24",1,1,10,"Singleback Slot Strong HB Counter","4-3 Normal Man OLB Flat Zone",76,6,0,"1-10-ORL 24 (13:34) 33-Lyle Opitz ran for 76 yards. TOUCHDOWN! ORL 6 FLA 0","#7 Trey Lyons - QB","#33 Lyle Opitz - RB",,,,"#81 Rufus Williams - TE",,"#11 Jason Amen - WR","#86 Brian Henson - WR","#85 John Jones - WR",,,"#61 John Nelson - LT","#75 Carey Adams - LG","#65 Josef Weddle - C","#63 Darren Wilson - LG","#64 Rufus Ellis - RT",,"#92 Michael Carter - LDE",,"#72 Cameron Wilson - DT","#99 Rey Toler - DT","#67 Matthew Oneal - RDE","#94 Frank White - SLB","#99 Gregg Griffin - SS",,"#57 John Robertson - WLB","#24 Travis Smith - CB","#25 George Partin - CB",,,,"#29 Mark Southern - CB","#42 Gary Black - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,13:22,"FLA 15",1,7,15,"Field Goal","FG Block",25,7,0,"(13:23) Extra point GOOD by 15-Roger Love. ORL 7 FLA 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#7 Trey Lyons - QB","#71 Kenneth Spangler - RG",,,,,,,,,,,,,,"#15 Roger Love - K","#66 Ivan Fisher - LG","#83 Arthur Reader - TE","#43 George Hogue - FB","#81 Rufus Williams - TE","#75 Carey Adams - LG","#64 Rufus Ellis - RT","#61 John Nelson - LT","#70 Irving Noble - LT","#92 Michael Carter - LDE","#67 Matthew Oneal - RDE","#38 John Ammerman - CB","#99 Gregg Griffin - SS","#98 Stephen Barajas - DT","#58 John Belisle - DT","#67 Josey Jewell - RDE","#97 Roy Monahan - SLB","#66 Guy Phillips - LDE","#57 John Robertson - WLB","#94 Frank White - SLB"
ORL,13:22,"ORL 35",1,6,10,Kickoff,"Kick Return",,7,0,"(13:23) 15-Roger Love kicks 75 yards from ORL 35 to FLA -10. Touchback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#21 Gerald Fisher - RB",,"#57 John Robertson - WLB","#48 William Waldron - SS","#38 John Ammerman - CB","#24 Travis Smith - CB","#99 Gregg Griffin - SS","#29 Mark Southern - CB","#92 Michael Carter - LDE","#72 Cameron Wilson - DT","#94 Frank White - SLB","#67 Matthew Oneal - RDE","#15 Roger Love - K",,,,,,,,,,,,,,,,,,,,
FLA,13:22,"FLA 25",1,1,10,"Singleback Slot Strong HB Checkdown","Nickel Strong 1 Deep Man Under",27,7,0,"1-10-FLA 25 (13:23) 12-Dale Baber pass complete to 34-Stephen Hannah to ORL 48 for 27 yards. Pressure by 68-Wesley Carr. FLA 61-John Avila was injured on the play. He looks like he should be able to return.","#9 Dale Baber - QB","#34 Stephen Hannah - RB",,,,"#87 Jose Moses - TE",,"#83 Daniel Conway - WR","#88 Joseph Baker - WR","#81 Don Bell - WR",,,"#77 John Avila - LT","#67 Gerard Combs - RT","#73 Dwight Brown - C","#64 John Pope - RG","#69 Archie Benninger - RT",,"#67 Lloyd Benally - RDE",,"#90 Steven Lamons - DT","#76 Wesley Carr - DT","#66 Zachary Harvey - RDE",,"#59 Bruce Koenig - MLB",,"#51 Paul Blackmon - WLB","#29 William Kimble - CB","#20 Brian Buono - CB",,"#22 Donald Brown - CB",,"#45 Michael Leblanc - FS","#26 Horacio Stephens - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
