HasBall,"Game Clock","Ball @",Quarter,Down,YTG,OffensivePlay,DefensivePlay,YardsGained,"Home Score","Away Score",Text,QB1,RB1,RB2,FB2,FB1,TE1,TE2,WR1,WR3,WR2,WR4,WR5,LT1,LG1,C1,RG1,RT1,P1,LDE1,LDE2,DT1,DT2,RDE1,SLB1,MLB1,MLB2,WLB1,CB1,CB2,CB4,CB3,CB5,SS1,FS1,FS2,"Kick Holder1","Long Snapper1","Kick Returner1","Punt Returner1",Gunner10,Gunner7,Gunner2,Gunner6,Gunner1,Gunner8,Gunner3,Gunner4,Gunner9,Gunner5,Kickoffs1,"Field Goal Kicker1","ST Blocker8","ST Blocker5","ST Blocker4","ST Blocker1","ST Blocker2","ST Blocker3","ST Blocker6","ST Blocker7","ST Rusher4","ST Rusher1","ST Rusher2","ST Rusher3","ST Rusher11","ST Rusher10","ST Rusher9","ST Rusher6","ST Rusher5","ST Rusher7","ST Rusher8"
,15:00,,1,3,10,,,,0,0,"OAK has won the toss and elected to receive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POR,15:00,"POR 35",1,6,10,Kickoff,"Kick Return",,0,0,"(15:00) 10-Aaron David kicks 68 yards from POR 35 to OAK -3. Touchback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#30 Brent Sepulveda - FB",,"#49 Dylan Hyler - CB","#53 Barry Andrews - SLB","#99 Brian Stalter - RDE","#26 Bret Waddell - CB","#50 Joshua Rascoe - MLB","#32 Matthew Bruckner - CB","#42 John Russell - SS","#55 Jonathon Damico - MLB","#39 Thomas Schmidt - CB","#46 Robert Mosley - CB","#10 Aaron David - K",,,,,,,,,,,,,,,,,,,,
OAK,15:00,"OAK 25",1,1,10,"Goal Line Normal PA TE Drag","Goal Line Attack #1",4,0,0,"1-10-OAK 25 (15:00) 7-Andy Fulkerson pass complete to 87-Greg Hale to OAK 29 for 4 yards. Tackle by 23-Mark McKibben.","#7 Andy Fulkerson - QB","#35 Guillermo Rockwell - RB",,"#34 William Workman - RB","#30 Brent Sepulveda - FB","#87 Greg Hale - TE","#84 Daniel Jackson - TE",,,,,,"#77 Bennett Williams - LT","#64 Robert Caudill - LT","#63 Logan Dye - C","#76 Henry Vallejo - RT","#74 William George - RT",,"#56 Charles Heist - RDE","#62 Lawrence Tucker - RDE","#96 Michael Semmes - DT","#97 Nicholas Carlisle - RDE","#92 Michael Carter - LDE","#47 Joseph Gomez - MLB","#52 Robert Leflore - WLB",,"#94 Charles Uchida - MLB","#23 Mark McKibben - CB","#20 Jeffrey Brooks - CB",,,,"#30 Theodore Smith - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAK,14:21,"OAK 29",1,2,6,"Singleback Big TE Flat Curl","4-3 Normal Double WR1",1,0,0,"2-6-OAK 29 (14:20) Tackle by 97-Nicholas Carlisle.","#7 Andy Fulkerson - QB","#35 Guillermo Rockwell - RB",,,,"#87 Greg Hale - TE","#84 Daniel Jackson - TE","#16 George Coleman - WR",,"#11 Miguel Gilbert - WR",,,"#77 Bennett Williams - LT","#64 Robert Caudill - LT","#63 Logan Dye - C","#76 Henry Vallejo - RT","#74 William George - RT",,"#56 Charles Heist - RDE",,"#96 Michael Semmes - DT","#97 Nicholas Carlisle - RDE","#92 Michael Carter - LDE","#47 Joseph Gomez - MLB","#52 Robert Leflore - WLB",,"#94 Charles Uchida - MLB","#23 Mark McKibben - CB","#20 Jeffrey Brooks - CB",,,,"#30 Theodore Smith - CB","#1 Robert Laws - SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAK,13:40,"OAK 31",1,3,4,"Singleback Empty 4 Slot Crosses","Dime Normal Double WR2",,0,0,"3-4-OAK 31 (13:39) 7-Andy Fulkerson pass incomplete, intended for 15-Alvin Johnson.","#7 Andy Fulkerson - QB",,,,,"#87 Greg Hale - TE",,"#14 Robert Simpson - WR","#15 Alvin Johnson - WR","#83 Duane Merryman - WR","#16 George Coleman - WR",,"#77 Bennett Williams - LT","#64 Robert Caudill - LT","#63 Logan Dye - C","#76 Henry Vallejo - RT","#74 William George - RT",,"#56 Charles Heist - RDE",,"#96 Michael Semmes - DT","#97 Nicholas Carlisle - RDE","#92 Michael Carter - LDE",,"#52 Robert Leflore - WLB",,,"#23 Mark McKibben - CB","#20 Jeffrey Brooks - CB","#28 Laurence Anderson - CB","#26 Michael Webster - CB",,"#30 Theodore Smith - CB","#1 Robert Laws - SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAK,13:34,"OAK 31",1,4,4,Punt,"Punt Return",,0,0,"4-4-OAK 31 (13:35) 5-John Nugent punts 48 yards to POR 22. 15-Lonnie Johnson to POR 27 for 5 yards. Tackle by 99-Brian Stalter.",,,,,,,,,,,,,,,,,,"#5 John Nugent - P",,,,,,,,,,,,,,,,,,,"#3 Joseph Nelson - RB",,"#15 Lonnie Johnson - WR",,,"#26 Michael Webster - CB","#20 Jeffrey Brooks - CB","#1 Robert Laws - SS",,"#8 Thomas Frank - RB","#84 Jack Ramos - WR",,"#23 Mark McKibben - CB",,,,"#74 William George - RT","#76 Henry Vallejo - RT","#64 Robert Caudill - LT","#63 Logan Dye - C","#77 Bennett Williams - LT","#78 Edward McNair - LG",,"#96 Michael Semmes - DT","#92 Michael Carter - LDE","#52 Robert Leflore - WLB","#56 Charles Heist - RDE",,,,,,,
POR,13:26,"POR 27",1,1,10,"Shotgun 2 RB 3 WR Shotgun Sweep","Dime Normal Man Cover 1",7,0,0,"1-10-POR 27 (13:27) 16-Travis Hopkins ran to POR 33 for 7 yards. Tackle by 26-Bret Waddell.","#2 Raymond Oswalt - QB","#8 Thomas Frank - RB","#16 Travis Hopkins - RB",,,,,"#15 Lonnie Johnson - WR","#32 Robert Settle - RB","#85 James Kendrick - WR",,,"#69 Robert Bergeron - LT","#66 James Sanchez - LG","#77 Ryan Beall - C","#70 Michael Provost - RG","#75 Jose Metzler - LG",,"#90 Haywood Barnes - LDE",,"#98 Ronnie Pawlowski - DT","#97 Stephen Weber - DT","#96 Waylon Spear - LDE",,"#55 Jonathon Damico - MLB",,,"#46 Robert Mosley - CB","#26 Bret Waddell - CB","#32 Matthew Bruckner - CB","#39 Thomas Schmidt - CB",,"#49 Dylan Hyler - CB","#21 Andrew McKenzie - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POR,12:47,"POR 33",1,2,3,"Shotgun 2 RB 3 WR RB Curls","Quarter Normal CB3 CB4 Blitz",,0,0,"2-3-POR 33 (12:46) 2-Raymond Oswalt pass Pass knocked down by 41-Brian Allen. incomplete, intended for 8-Thomas Frank. Pressure by 98-Ronnie Pawlowski.","#2 Raymond Oswalt - QB","#8 Thomas Frank - RB","#16 Travis Hopkins - RB",,,,,"#15 Lonnie Johnson - WR","#32 Robert Settle - RB","#85 James Kendrick - WR",,,"#69 Robert Bergeron - LT","#66 James Sanchez - LG","#77 Ryan Beall - C","#70 Michael Provost - RG","#75 Jose Metzler - LG",,"#90 Haywood Barnes - LDE",,"#98 Ronnie Pawlowski - DT",,"#99 Brian Stalter - RDE",,"#55 Jonathon Damico - MLB",,,"#46 Robert Mosley - CB","#26 Bret Waddell - CB","#32 Matthew Bruckner - CB","#39 Thomas Schmidt - CB","#41 Brian Allen - CB","#42 John Russell - SS","#21 Andrew McKenzie - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POR,12:40,"POR 33",1,3,3,"Shotgun 2 RB 3 WR WR Curl","Nickel Normal Double WR2",15,0,0,"3-3-POR 33 (12:41) 2-Raymond Oswalt pass complete to 85-James Kendrick to POR 48 for 15 yards. Tackle by 51-Robert Goodwin. 85-James Kendrick did some fancy footwork there.","#2 Raymond Oswalt - QB","#8 Thomas Frank - RB","#16 Travis Hopkins - RB",,,,,"#15 Lonnie Johnson - WR","#32 Robert Settle - RB","#85 James Kendrick - WR",,,"#69 Robert Bergeron - LT","#66 James Sanchez - LG","#77 Ryan Beall - C","#70 Michael Provost - RG","#75 Jose Metzler - LG",,"#90 Haywood Barnes - LDE",,"#98 Ronnie Pawlowski - DT","#97 Stephen Weber - DT","#99 Brian Stalter - RDE",,"#55 Jonathon Damico - MLB",,"#51 Robert Goodwin - WLB","#46 Robert Mosley - CB","#39 Thomas Schmidt - CB",,"#32 Matthew Bruckner - CB",,"#42 John Russell - SS","#41 Brian Allen - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POR,11:59,"POR 48",1,1,10,"Singleback Normal HB Counter Weak","Quarter Normal Man Cover 2",12,0,0,"1-10-POR 48 (11:58) 8-Thomas Frank ran to OAK 40 for 12 yards. Tackle by 49-Dylan Hyler.","#2 Raymond Oswalt - QB","#8 Thomas Frank - RB",,,,"#87 Richard Petty - TE",,"#32 Robert Settle - RB","#84 Jack Ramos - WR","#17 Frank Gonzalez - WR",,,"#69 Robert Bergeron - LT","#66 James Sanchez - LG","#77 Ryan Beall - C","#70 Michael Provost - RG","#75 Jose Metzler - LG",,"#72 Lemuel Gibson - LDE",,"#98 Ronnie Pawlowski - DT",,"#99 Brian Stalter - RDE",,"#50 Joshua Rascoe - MLB",,,"#26 Bret Waddell - CB","#39 Thomas Schmidt - CB","#41 Brian Allen - CB","#25 Don Weiss - CB","#32 Matthew Bruckner - CB","#49 Dylan Hyler - CB","#21 Andrew McKenzie - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
