Season,Type,Week,Away Team,A Score,Home Team,H Score,Game ID,Captured,Force Refresh,Win,AT,,,,,,,,,
1996,Regular,4,HoustonTexans,10,IndianapolisColts,7,8775,0,0,A,HoustonTexans,,,,,,,,,
1996,Regular,4,NewOrleansSaints,6,DetroitLions,17,8776,0,0,H,NewOrleansSaints,,,,,,,,,
1996,Regular,4,AtlantaFalcons,10,WashingtonRedskins,15,8777,0,0,H,AtlantaFalcons,,,,,,,,,
1996,Regular,4,SeattleSeahawks,7,TampaBayBuccaneers,29,8778,0,0,H,SeattleSeahawks,,,,,,,,,
1996,Regular,4,SanFrancisco49ers,16,LosAngelesRams,13,8779,0,0,A,SanFrancisco49ers,,,,,,,,,
1996,Regular,4,ArizonaCardinals,11,MinnesotaVikings,10,8780,0,0,A,ArizonaCardinals,,,,,,,,,
1996,Regular,4,DallasCowboys,16,PhiladelphiaEagles,0,8781,0,0,A,DallasCowboys,,,,,,,,,
1996,Regular,4,KansasCityChiefs,14,NewYorkGiants,21,8782,0,0,H,KansasCityChiefs,,,,,,,,,
1996,Regular,4,PittsburghSteelers,20,DenverBroncos,10,8783,0,0,A,PittsburghSteelers,,,,,,,,,
1996,Regular,4,BaltimoreRavens,16,ClevelandBrowns,23,8784,0,0,H,BaltimoreRavens,,,,,,,,,
1996,Regular,4,CincinnatiBengals,6,NewEnglandPatriots,27,8785,0,0,H,CincinnatiBengals,,,,,,,,,
1996,Regular,4,CarolinaPanthers,19,JacksonvilleJaguars,13,8786,0,0,A,CarolinaPanthers,,,,,,,,,
1996,Regular,5,TampaBayBuccaneers,17,NewOrleansSaints,13,8787,0,0,A,TampaBayBuccaneers,,,,,,,,,
1996,Regular,5,KansasCityChiefs,3,IndianapolisColts,20,8788,0,0,H,KansasCityChiefs,,,,,,,,,
1996,Regular,5,TennesseeTitans,33,JacksonvilleJaguars,13,8789,0,0,A,TennesseeTitans,,,,,,,,,
1996,Regular,5,SeattleSeahawks,0,MiamiDolphins,35,8790,0,0,H,SeattleSeahawks,,,,,,,,,
1996,Regular,5,LosAngelesRams,0,ArizonaCardinals,35,8791,0,0,H,LosAngelesRams,,,,,,,,,
1996,Regular,5,NewYorkJets,17,NewEnglandPatriots,10,8792,0,0,A,NewYorkJets,,,,,,,,,
1996,Regular,5,BuffaloBills,14,SanFrancisco49ers,9,8793,0,0,A,BuffaloBills,,,,,,,,,
1996,Regular,5,DallasCowboys,23,NewYorkGiants,23,8794,0,0,T,DallasCowboys,,,,,,,,,
1996,Regular,5,AtlantaFalcons,19,CarolinaPanthers,31,8795,0,0,H,AtlantaFalcons,,,,,,,,,
1996,Regular,5,HoustonTexans,26,OaklandRaiders,3,8796,0,0,A,HoustonTexans,,,,,,,,,
1996,Regular,5,GreenBayPackers,0,MinnesotaVikings,43,8797,0,0,H,GreenBayPackers,,,,,,,,,
1996,Regular,5,ClevelandBrowns,22,DetroitLions,23,8798,0,0,H,ClevelandBrowns,,,,,,,,,
1996,Regular,5,WashingtonRedskins,32,PhiladelphiaEagles,13,8799,0,0,A,WashingtonRedskins,,,,,,,,,
1996,Regular,5,DenverBroncos,13,BaltimoreRavens,16,8800,0,0,H,DenverBroncos,,,,,,,,,
1996,Regular,5,SanDiegoChargers,17,PittsburghSteelers,12,8801,0,0,A,SanDiegoChargers,,,,,,,,,
1996,Regular,5,ChicagoBears,17,CincinnatiBengals,10,8802,0,0,A,ChicagoBears,,,,,,,,,
1996,Regular,6,SanDiegoChargers,31,OaklandRaiders,6,8803,0,0,A,SanDiegoChargers,,,,,,,,,
1996,Regular,6,CarolinaPanthers,16,ChicagoBears,11,8804,0,0,A,CarolinaPanthers,,,,,,,,,
1996,Regular,6,GreenBayPackers,13,PhiladelphiaEagles,40,8805,0,0,H,GreenBayPackers,,,,,,,,,
1996,Regular,6,DallasCowboys,10,DenverBroncos,6,8806,0,0,A,DallasCowboys,,,,,,,,,
1996,Regular,6,BuffaloBills,48,NewYorkJets,9,8807,0,0,A,BuffaloBills,,,,,,,,,
1996,Regular,6,NewEnglandPatriots,10,SeattleSeahawks,7,8808,0,0,A,NewEnglandPatriots,,,,,,,,,
1996,Regular,6,MiamiDolphins,21,SanFrancisco49ers,0,8809,0,0,A,MiamiDolphins,,,,,,,,,
1996,Regular,6,TampaBayBuccaneers,34,TennesseeTitans,37,8810,0,0,H,TampaBayBuccaneers,,,,,,,,,
1996,Regular,6,IndianapolisColts,16,HoustonTexans,3,8811,0,0,A,IndianapolisColts,,,,,,,,,
1996,Regular,6,JacksonvilleJaguars,10,BaltimoreRavens,20,8812,0,0,H,JacksonvilleJaguars,,,,,,,,,
1996,Regular,6,CincinnatiBengals,0,ClevelandBrowns,12,8813,0,0,H,CincinnatiBengals,,,,,,,,,
1996,Regular,6,PittsburghSteelers,10,KansasCityChiefs,23,8814,0,0,H,PittsburghSteelers,,,,,,,,,
1996,Regular,6,NewYorkGiants,20,MinnesotaVikings,10,8815,0,0,A,NewYorkGiants,,,,,,,,,
1996,Regular,6,WashingtonRedskins,16,ArizonaCardinals,13,8816,0,0,A,WashingtonRedskins,,,,,,,,,
1996,Regular,6,AtlantaFalcons,20,NewOrleansSaints,21,8817,0,0,H,AtlantaFalcons,,,,,,,,,
1996,Regular,6,DetroitLions,28,LosAngelesRams,3,8818,0,0,A,DetroitLions,,,,,,,,,
1996,Regular,7,WashingtonRedskins,19,DallasCowboys,13,8819,0,0,A,WashingtonRedskins,,,,,,,,,
1996,Regular,7,KansasCityChiefs,3,SanDiegoChargers,27,8820,0,0,H,KansasCityChiefs,,,,,,,,,
1996,Regular,7,DenverBroncos,29,OaklandRaiders,6,8821,0,0,A,DenverBroncos,,,,,,,,,
1996,Regular,7,DetroitLions,7,MinnesotaVikings,18,8822,0,0,H,DetroitLions,,,,,,,,,
1996,Regular,7,PhiladelphiaEagles,9,ChicagoBears,6,8823,0,0,A,PhiladelphiaEagles,,,,,,,,,
1996,Regular,7,SanFrancisco49ers,3,CarolinaPanthers,29,8824,0,0,H,SanFrancisco49ers,,,,,,,,,
1996,Regular,7,NewOrleansSaints,3,SeattleSeahawks,27,8825,0,0,H,NewOrleansSaints,,,,,,,,,
1996,Regular,7,IndianapolisColts,20,AtlantaFalcons,3,8826,0,0,A,IndianapolisColts,,,,,,,,,
1996,Regular,7,JacksonvilleJaguars,20,TennesseeTitans,24,8827,0,0,H,JacksonvilleJaguars,,,,,,,,,
1996,Regular,7,BuffaloBills,37,LosAngelesRams,7,8828,0,0,A,BuffaloBills,,,,,,,,,
1996,Regular,7,HoustonTexans,21,NewEnglandPatriots,3,8829,0,0,A,HoustonTexans,,,,,,,,,
1996,Regular,7,GreenBayPackers,6,PittsburghSteelers,41,8830,0,0,H,GreenBayPackers,,,,,,,,,
1996,Regular,7,TampaBayBuccaneers,25,NewYorkGiants,10,8831,0,0,A,TampaBayBuccaneers,,,,,,,,,
1996,Regular,7,NewYorkJets,7,ArizonaCardinals,20,8832,0,0,H,NewYorkJets,,,,,,,,,
1996,Regular,7,MiamiDolphins,7,ClevelandBrowns,31,8833,0,0,H,MiamiDolphins,,,,,,,,,
1996,Regular,7,BaltimoreRavens,13,CincinnatiBengals,23,8834,0,0,H,BaltimoreRavens,,,,,,,,,
1996,Regular,8,NewYorkJets,14,DenverBroncos,7,8835,0,0,A,NewYorkJets,,,,,,,,,
1996,Regular,8,SeattleSeahawks,7,BuffaloBills,42,8836,0,0,H,SeattleSeahawks,,,,,,,,,
1996,Regular,8,MiamiDolphins,13,NewEnglandPatriots,20,8837,0,0,H,MiamiDolphins,,,,,,,,,
1996,Regular,8,TampaBayBuccaneers,32,SanFrancisco49ers,0,8838,0,0,A,TampaBayBuccaneers,,,,,,,,,
1996,Regular,8,HoustonTexans,3,TennesseeTitans,6,8839,0,0,H,HoustonTexans,,,,,,,,,
1996,Regular,8,IndianapolisColts,20,JacksonvilleJaguars,3,8840,0,0,A,IndianapolisColts,,,,,,,,,
1996,Regular,8,PittsburghSteelers,10,CincinnatiBengals,25,8841,0,0,H,PittsburghSteelers,,,,,,,,,
1996,Regular,8,LosAngelesRams,0,CarolinaPanthers,41,8842,0,0,H,LosAngelesRams,,,,,,,,,
1996,Regular,8,DetroitLions,22,ChicagoBears,13,8843,0,0,A,DetroitLions,,,,,,,,,
1996,Regular,8,WashingtonRedskins,19,GreenBayPackers,10,8844,0,0,A,WashingtonRedskins,,,,,,,,,
1996,Regular,8,ArizonaCardinals,20,AtlantaFalcons,10,8845,0,0,A,ArizonaCardinals,,,,,,,,,
1996,Regular,8,MinnesotaVikings,20,ClevelandBrowns,17,8846,0,0,A,MinnesotaVikings,,,,,,,,,
1996,Regular,8,BaltimoreRavens,13,OaklandRaiders,16,8847,0,0,H,BaltimoreRavens,,,,,,,,,
1996,Regular,8,NewYorkGiants,12,SanDiegoChargers,27,8848,0,0,H,NewYorkGiants,,,,,,,,,
1996,Regular,8,PhiladelphiaEagles,13,KansasCityChiefs,10,8849,0,0,A,PhiladelphiaEagles,,,,,,,,,
1996,Regular,8,DallasCowboys,29,NewOrleansSaints,0,8850,0,0,A,DallasCowboys,,,,,,,,,
1996,Regular,9,IndianapolisColts,20,MiamiDolphins,9,8851,0,0,A,IndianapolisColts,,,,,,,,,
1996,Regular,9,TennesseeTitans,24,NewYorkJets,7,8852,0,0,A,TennesseeTitans,,,,,,,,,
1996,Regular,9,GreenBayPackers,6,ChicagoBears,23,8853,0,0,H,GreenBayPackers,,,,,,,,,
1996,Regular,9,OaklandRaiders,6,SanDiegoChargers,42,8854,0,0,H,OaklandRaiders,,,,,,,,,
1996,Regular,9,BuffaloBills,43,HoustonTexans,3,8855,0,0,A,BuffaloBills,,,,,,,,,
1996,Regular,9,DetroitLions,13,WashingtonRedskins,19,8856,0,0,H,DetroitLions,,,,,,,,,
1996,Regular,9,AtlantaFalcons,6,TampaBayBuccaneers,30,8857,0,0,H,AtlantaFalcons,,,,,,,,,
1996,Regular,9,LosAngelesRams,6,SeattleSeahawks,33,8858,0,0,H,LosAngelesRams,,,,,,,,,
1996,Regular,9,ArizonaCardinals,37,SanFrancisco49ers,22,8859,0,0,A,ArizonaCardinals,,,,,,,,,
1996,Regular,9,MinnesotaVikings,24,DallasCowboys,3,8860,0,0,A,MinnesotaVikings,,,,,,,,,
1996,Regular,9,PhiladelphiaEagles,23,NewYorkGiants,10,8861,0,0,A,PhiladelphiaEagles,,,,,,,,,
1996,Regular,9,DenverBroncos,17,KansasCityChiefs,32,8862,0,0,H,DenverBroncos,,,,,,,,,
1996,Regular,9,ClevelandBrowns,50,PittsburghSteelers,7,8863,0,0,A,ClevelandBrowns,,,,,,,,,
1996,Regular,9,CincinnatiBengals,10,BaltimoreRavens,17,8864,0,0,H,CincinnatiBengals,,,,,,,,,
1996,Regular,9,NewEnglandPatriots,6,JacksonvilleJaguars,16,8865,0,0,H,NewEnglandPatriots,,,,,,,,,
1996,Regular,9,CarolinaPanthers,20,NewOrleansSaints,7,8866,0,0,A,CarolinaPanthers,,,,,,,,,
1996,Regular,10,SeattleSeahawks,40,GreenBayPackers,23,8867,0,0,A,SeattleSeahawks,,,,,,,,,
1996,Regular,10,AtlantaFalcons,41,SanFrancisco49ers,16,8868,0,0,A,AtlantaFalcons,,,,,,,,,
1996,Regular,10,TennesseeTitans,47,NewOrleansSaints,0,8869,0,0,A,TennesseeTitans,,,,,,,,,
1996,Regular,10,ArizonaCardinals,17,BuffaloBills,24,8870,0,0,H,ArizonaCardinals,,,,,,,,,
1996,Regular,10,BaltimoreRavens,0,NewYorkJets,21,8871,0,0,H,BaltimoreRavens,,,,,,,,,
1996,Regular,10,NewEnglandPatriots,0,IndianapolisColts,30,8872,0,0,H,NewEnglandPatriots,,,,,,,,,
1996,Regular,10,DallasCowboys,20,DetroitLions,20,8873,0,0,T,DallasCowboys,,,,,,,,,
1996,Regular,10,MiamiDolphins,57,LosAngelesRams,21,8874,0,0,A,MiamiDolphins,,,,,,,,,
1996,Regular,10,CarolinaPanthers,7,TampaBayBuccaneers,34,8875,0,0,H,CarolinaPanthers,,,,,,,,,
1996,Regular,10,MinnesotaVikings,24,PittsburghSteelers,3,8876,0,0,A,MinnesotaVikings,,,,,,,,,
1996,Regular,10,PhiladelphiaEagles,16,WashingtonRedskins,13,8877,0,0,A,PhiladelphiaEagles,,,,,,,,,
1996,Regular,10,HoustonTexans,20,JacksonvilleJaguars,17,8878,0,0,A,HoustonTexans,,,,,,,,,
1996,Regular,10,SanDiegoChargers,13,DenverBroncos,6,8879,0,0,A,SanDiegoChargers,,,,,,,,,
1996,Regular,10,KansasCityChiefs,7,CincinnatiBengals,24,8880,0,0,H,KansasCityChiefs,,,,,,,,,
1996,Regular,10,OaklandRaiders,6,ClevelandBrowns,20,8881,0,0,H,OaklandRaiders,,,,,,,,,
1996,Regular,10,ChicagoBears,6,NewYorkGiants,30,8882,0,0,H,ChicagoBears,,,,,,,,,
1996,Regular,11,NewYorkJets,26,SeattleSeahawks,7,8883,0,0,A,NewYorkJets,,,,,,,,,
1996,Regular,11,MiamiDolphins,6,TennesseeTitans,27,8884,0,0,H,MiamiDolphins,,,,,,,,,
