HasBall,"Game Clock","Ball @",Quarter,Down,YTG,OffensivePlay,DefensivePlay,YardsGained,"Home Score","Away Score",Text,QB1,RB1,RB2,FB2,FB1,TE1,TE2,WR1,WR3,WR2,WR4,WR5,LT1,LG1,C1,RG1,RT1,P1,LDE1,LDE2,DT1,DT2,RDE1,SLB1,MLB1,MLB2,WLB1,CB1,CB2,CB4,CB3,CB5,SS1,FS1,FS2,"Kick Holder1","Long Snapper1","Kick Returner1","Punt Returner1",Gunner10,Gunner7,Gunner2,Gunner6,Gunner1,Gunner8,Gunner3,Gunner4,Gunner9,Gunner5,Kickoffs1,"Field Goal Kicker1","ST Blocker8","ST Blocker5","ST Blocker4","ST Blocker1","ST Blocker2","ST Blocker3","ST Blocker6","ST Blocker7","ST Rusher4","ST Rusher1","ST Rusher2","ST Rusher3","ST Rusher11","ST Rusher10","ST Rusher9","ST Rusher6","ST Rusher5","ST Rusher7","ST Rusher8"
,15:00,,1,2,10,,,,0,0,"MIN has won the toss and elected to defer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,15:00,"MIN 35",1,6,10,Kickoff,"Kick Return",,0,0,"(15:00) 9-Brian Barker kicks 72 yards from MIN 35 to CLE -7. 44-Allan Baker to CLE 23 for 31 yards. Tackle by 26-Garrett Bowerman.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#44 Allan Baker - CB",,"#22 Joseph Hudson - CB","#48 Wayne Kling - RB","#31 Keith Turner - SS","#87 Robert Knight - TE","#15 William Frey - WR","#53 James Coleman - WLB","#36 Floyd Fannin - SS","#24 George Nguyen - SS","#25 John Doerr - CB","#90 Mark Irvine - WLB","#9 Brian Barker - K",,,,,,,,,,,,,,,,,,,,
CLE,14:55,"CLE 23",1,1,10,"Shotgun Normal TE Out","4-3 Normal Double WR3",2,0,0,"1-10-CLE 23 (14:56) 17-Terry Galloway pass complete to 15-William Frey to CLE 25 for 2 yards. Tackle by 56-Brian Scarborough.","#17 Terry Galloway - QB","#40 Jesse Schwing - RB",,,,"#86 Thomas Kirk - TE",,"#18 Mauricio Meyer - WR","#15 William Frey - WR","#85 Travis Ramos - WR",,,"#74 Eric Smith - LT","#70 David Toth - LG","#76 Samuel Courville - C","#58 Harold Engle - RG","#72 Frederick Long - RT",,"#95 Fred Lozano - LDE",,"#79 Coy McMurtry - DT","#68 Clark Steve - DT","#65 Gerald Bush - RDE","#33 William Dorsch - SLB","#56 Brian Scarborough - MLB",,"#55 Warren Waite - WLB","#37 Matthew Cook - CB","#42 George Yun - FS",,,,"#45 Dale Solar - SS","#27 William Nadler - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,14:23,"CLE 25",1,2,8,"I Formation Power HB Strong Outside","Goal Line Attack #2",4,0,0,"2-8-CLE 25 (14:22) 40-Jesse Schwing ran to CLE 29 for 4 yards. Tackle by 56-Brian Scarborough.","#17 Terry Galloway - QB","#40 Jesse Schwing - RB",,"#80 Jeffery Gault - TE","#34 Scott Guenther - FB","#15 William Frey - WR",,"#18 Mauricio Meyer - WR",,,,,"#74 Eric Smith - LT","#70 David Toth - LG","#76 Samuel Courville - C","#58 Harold Engle - RG","#72 Frederick Long - RT",,"#95 Fred Lozano - LDE","#97 Gus Mata - LDE","#79 Coy McMurtry - DT","#68 Clark Steve - DT","#65 Gerald Bush - RDE","#45 Dale Solar - SS","#56 Brian Scarborough - MLB",,"#55 Warren Waite - WLB","#23 Gary Carnegie - CB","#26 Garrett Bowerman - CB",,,,"#33 William Dorsch - SLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,13:45,"CLE 29",1,3,4,"I Formation 3WR HB Inside Weak","4-3 Normal Double WR3",1,0,0,"3-4-CLE 29 (13:44) 40-Jesse Schwing ran to CLE 30 for 1 yards. Tackle by 36-William Dorsch.","#17 Terry Galloway - QB","#40 Jesse Schwing - RB",,,"#34 Scott Guenther - FB",,,"#18 Mauricio Meyer - WR","#15 William Frey - WR","#85 Travis Ramos - WR",,,"#74 Eric Smith - LT","#70 David Toth - LG","#76 Samuel Courville - C","#58 Harold Engle - RG","#72 Frederick Long - RT",,"#95 Fred Lozano - LDE",,"#79 Coy McMurtry - DT","#97 Gus Mata - LDE","#65 Gerald Bush - RDE","#33 William Dorsch - SLB","#56 Brian Scarborough - MLB",,"#55 Warren Waite - WLB","#23 Gary Carnegie - CB","#26 Garrett Bowerman - CB",,,,"#45 Dale Solar - SS","#40 Charles Bowen - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,13:07,"CLE 30",1,4,3,Punt,"Punt Return",,0,0,"4-3-CLE 30 (13:06) 16-Spencer Hawkins punts 48 yards to MIN 21. Fair Catch by 80-John Hunter.",,,,,,,,,,,,,,,,,,"#16 Spencer Hawkins - P",,,,,,,,,,,,,,,,,,,"#52 Carl Bray - RT",,"#80 John Hunter - WR",,,"#42 George Yun - FS","#40 Charles Bowen - FS","#26 Garrett Bowerman - CB",,"#99 David Carter - MLB","#44 Royce Archer - WR",,"#16 Lionel Bean - WR",,,,"#74 Eric Smith - LT","#61 Carl McKinney - C","#62 David Resto - RG","#72 Frederick Long - RT","#60 David Marsh - LT","#58 Harold Engle - RG",,"#57 Ralph Reed - MLB","#94 David Santiago - MLB","#97 Gus Mata - LDE","#68 Clark Steve - DT",,,,,,,
MIN,12:58,"MIN 21",1,1,10,"I Formation 3WR HB Inside Weak","Nickel Blitz Weak Blitz",-0,0,0,"1-10-MIN 21 (12:59) 28-Timothy Hanson ran to MIN 21 for a short loss. Tackle by 44-Allan Baker.","#8 Robert Betances - QB","#28 Timothy Hanson - RB",,,"#82 Jay Zucker - TE",,,"#10 Randy Smith - WR","#80 John Hunter - WR","#15 Willie Soler - WR",,,"#83 Marc Brown - LT","#69 Marvin Davis - RG","#58 Robert Banks - C","#77 Ross Ward - RG","#76 Lester Wilson - RT",,"#55 Bryan Wells - RDE",,"#99 Frank Binder - DT","#91 Nicholas Bentley - DT","#65 Kenneth Caverly - RDE",,"#54 Garland Hussey - SLB",,"#53 James Coleman - WLB","#25 John Doerr - CB","#22 Joseph Hudson - CB",,"#44 Allan Baker - CB",,"#32 Thomas Smith - SS","#36 Floyd Fannin - SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,12:18,"MIN 21",1,2,10,"I Formation 3WR HB Inside Weak","Nickel Blitz Weak Blitz",-2,0,0,"2-10-MIN 21 (12:17) 28-Timothy Hanson ran to MIN 20 for -2 yards. Tackle by 44-Allan Baker.","#8 Robert Betances - QB","#28 Timothy Hanson - RB",,,"#82 Jay Zucker - TE",,,"#44 Royce Archer - WR","#15 Willie Soler - WR","#10 Randy Smith - WR",,,"#83 Marc Brown - LT","#69 Marvin Davis - RG","#58 Robert Banks - C","#77 Ross Ward - RG","#76 Lester Wilson - RT",,"#55 Bryan Wells - RDE",,"#99 Frank Binder - DT","#91 Nicholas Bentley - DT","#65 Kenneth Caverly - RDE",,"#54 Garland Hussey - SLB",,"#53 James Coleman - WLB","#25 John Doerr - CB","#22 Joseph Hudson - CB",,"#44 Allan Baker - CB",,"#32 Thomas Smith - SS","#36 Floyd Fannin - SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,11:41,"MIN 20",1,3,12,"Weak I Normal WR Corner TE Middle","4-3 Normal SLB Middle Blitz",11,0,0,"3-12-MIN 20 (11:40) 10-Robert Betances pass complete to 88-Raymond Minor to MIN 31 for 11 yards. Tackle by 53-James Coleman.","#8 Robert Betances - QB","#28 Timothy Hanson - RB",,,"#82 Jay Zucker - TE","#88 Raymond Minor - TE",,"#44 Royce Archer - WR",,"#10 Randy Smith - WR",,,"#83 Marc Brown - LT","#69 Marvin Davis - RG","#58 Robert Banks - C","#77 Ross Ward - RG","#76 Lester Wilson - RT",,"#55 Bryan Wells - RDE",,"#99 Frank Binder - DT","#91 Nicholas Bentley - DT","#65 Kenneth Caverly - RDE","#90 Mark Irvine - WLB","#54 Garland Hussey - SLB",,"#53 James Coleman - WLB","#25 John Doerr - CB","#22 Joseph Hudson - CB",,,,"#32 Thomas Smith - SS","#36 Floyd Fannin - SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,11:03,"MIN 31",1,4,1,Punt,"Punt Return",,0,0,"4-1-MIN 31 (11:02) 4-Willard Calvo punts 52 yards to CLE 17. Fair Catch by 15-William Frey.",,,,,,,,,,,,,,,,,,"#4 Willard Calvo - P",,,,,,,,,,,,,,,,,,,"#89 Milton Lampkin - TE",,"#15 William Frey - WR",,,"#36 Floyd Fannin - SS","#48 Wayne Kling - RB","#31 Keith Turner - SS",,"#44 Allan Baker - CB","#24 George Nguyen - SS",,"#87 Robert Knight - TE",,,,"#44 Royce Archer - WR","#97 Gus Mata - LDE","#43 David Dodd - RT","#94 David Santiago - MLB","#57 Ralph Reed - MLB","#75 Daniel Lin - LG",,"#90 Mark Irvine - WLB","#53 James Coleman - WLB","#22 Joseph Hudson - CB","#94 Donald Berg - WLB",,,,,,,
