HasBall,"Game Clock","Ball @",Quarter,Down,YTG,OffensivePlay,DefensivePlay,YardsGained,"Home Score","Away Score",Text,QB1,RB1,RB2,FB2,FB1,TE1,TE2,WR1,WR3,WR2,WR4,WR5,LT1,LG1,C1,RG1,RT1,P1,LDE1,LDE2,DT1,DT2,RDE1,SLB1,MLB1,MLB2,WLB1,CB1,CB2,CB4,CB3,CB5,SS1,FS1,FS2,"Kick Holder1","Long Snapper1","Kick Returner1","Punt Returner1",Gunner10,Gunner7,Gunner2,Gunner6,Gunner1,Gunner8,Gunner3,Gunner4,Gunner9,Gunner5,Kickoffs1,"Field Goal Kicker1","ST Blocker8","ST Blocker5","ST Blocker4","ST Blocker1","ST Blocker2","ST Blocker3","ST Blocker6","ST Blocker7","ST Rusher4","ST Rusher1","ST Rusher2","ST Rusher3","ST Rusher11","ST Rusher10","ST Rusher9","ST Rusher6","ST Rusher5","ST Rusher7","ST Rusher8"
,15:00,,1,4,4,,,,0,0,"DAK has won the toss and elected to receive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEX,15:00,"TEX 35",1,6,10,Kickoff,"Kick Return",,0,0,"(15:00) 3-Mark Mason kicks 72 yards from TEX 35 to DAK -7. Touchback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#88 Paul Huffman - WR",,"#94 Larry Sansone - FS","#35 Jeremy Williams - FS","#30 Ross Depaz - CB","#38 Allen Espinoza - CB","#24 Jason Cox - CB","#23 Jacob Lindsay - CB","#91 Mark Goss - CB","#34 James Guard - FS","#65 William Strong - FS","#97 Byron Brown - FS","#3 Mark Mason - K",,,,,,,,,,,,,,,,,,,,
DAK,15:00,"DAK 25",1,1,10,"Shotgun Normal HB Flare","Nickel Normal Man Cover 2",12,0,0,"1-10-DAK 25 (15:00) 12-Robert Alvarez pass complete to 89-Eric McFadden to DAK 37 for 12 yards. Tackle by 45-Michael Stevens.","#12 Robert Alvarez - QB","#88 Paul Huffman - WR",,,,"#89 Eric McFadden - WR",,"#41 Richard Yang - WR","#18 Darrell Blassingame - WR","#80 Woodrow Henderson - WR",,,"#76 Nestor Nelson - LT","#64 Michael Neill - LG","#76 Joe Tuma - C","#65 Eric Dalton - RT","#55 Lonnie Hutchins - RT",,"#54 Stephen Smith - LDE",,"#62 Tyson Stinnett - DT","#90 Clayton Stanley - DT","#55 Michael Eubanks - RDE",,"#45 Michael Stevens - MLB",,"#2 Timothy Smith - WLB","#47 Gary Gonzales - CB","#35 Ross Taylor - CB",,"#46 Irvin Huskey - FS",,"#38 Albert Dipietro - SS","#22 Steven Woods - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAK,14:20,"DAK 37",1,1,10,"I Formation 3WR PA Fullback Flat","Nickel Normal SS Blitz",2,0,0,"1-10-DAK 37 (14:19) 12-Robert Alvarez pass complete to 89-Eric McFadden to DAK 39 for 2 yards. Tackle by 55-Michael Eubanks. Great move by 89-Eric McFadden to get free of his coverage.","#12 Robert Alvarez - QB","#88 Paul Huffman - WR",,,"#46 Joseph Crayton - WR",,,"#41 Richard Yang - WR","#89 Eric McFadden - WR","#80 Woodrow Henderson - WR",,,"#76 Nestor Nelson - LT","#64 Michael Neill - LG","#76 Joe Tuma - C","#65 Eric Dalton - RT","#55 Lonnie Hutchins - RT",,"#54 Stephen Smith - LDE",,"#62 Tyson Stinnett - DT","#90 Clayton Stanley - DT","#55 Michael Eubanks - RDE",,"#45 Michael Stevens - MLB",,"#2 Timothy Smith - WLB","#47 Gary Gonzales - CB","#35 Ross Taylor - CB",,"#46 Irvin Huskey - FS",,"#38 Albert Dipietro - SS","#22 Steven Woods - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAK,13:36,"DAK 39",1,2,8,"Singleback Normal HB Inside Weak","Nickel Normal Double LB Blitz",4,0,0,"2-8-DAK 39 (13:35) 88-Paul Huffman ran to DAK 44 for 4 yards. Tackle by 22-Steven Woods.","#12 Robert Alvarez - QB","#88 Paul Huffman - WR",,,,"#61 Steven Ward - LT",,"#41 Richard Yang - WR","#89 Eric McFadden - WR","#18 Darrell Blassingame - WR",,,"#76 Nestor Nelson - LT","#64 Michael Neill - LG","#76 Joe Tuma - C","#65 Eric Dalton - RT","#55 Lonnie Hutchins - RT",,"#54 Stephen Smith - LDE",,"#62 Tyson Stinnett - DT","#90 Clayton Stanley - DT","#55 Michael Eubanks - RDE",,"#45 Michael Stevens - MLB",,"#2 Timothy Smith - WLB","#47 Gary Gonzales - CB","#35 Ross Taylor - CB",,"#46 Irvin Huskey - FS",,"#38 Albert Dipietro - SS","#22 Steven Woods - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAK,12:56,"DAK 44",1,3,4,"Singleback Normal Quick Slant","Nickel 3-3-5 Cover 2 Man Under",3,0,0,"3-4-DAK 44 (12:55) 12-Robert Alvarez pass complete to 88-Paul Huffman to DAK 47 for 3 yards. Tackle by 2-Timothy Smith.","#12 Robert Alvarez - QB","#88 Paul Huffman - WR",,,,"#61 Steven Ward - LT",,"#41 Richard Yang - WR","#89 Eric McFadden - WR","#18 Darrell Blassingame - WR",,,"#76 Nestor Nelson - LT","#64 Michael Neill - LG","#76 Joe Tuma - C","#65 Eric Dalton - RT","#55 Lonnie Hutchins - RT",,"#54 Stephen Smith - LDE",,"#62 Tyson Stinnett - DT",,"#55 Michael Eubanks - RDE","#98 Robert Tunstall - SLB","#45 Michael Stevens - MLB",,"#2 Timothy Smith - WLB","#47 Gary Gonzales - CB","#35 Ross Taylor - CB",,"#46 Irvin Huskey - FS",,"#38 Albert Dipietro - SS","#22 Steven Woods - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAK,12:12,"DAK 47",1,4,1,Punt,"Punt Return",,0,0,"4-1-DAK 47 (12:11) 4-Chad Babcock punts 45 yards to TEX 8. Fair Catch by 15-Stephen Powell.",,,,,,,,,,,,,,,,,,"#4 Chad Babcock - P",,,,,,,,,,,,,,,,,,,"#89 Eric McFadden - WR",,"#15 Stephen Powell - WR",,,"#35 Ross Taylor - CB","#88 Alonzo Diaz - TE","#55 Michael Eubanks - RDE",,"#45 Michael Stevens - MLB","#96 Chang Bandy - MLB",,"#83 Jason Fields - TE",,,,"#64 Michael Neill - LG","#61 Steven Ward - LT","#76 Nestor Nelson - LT","#82 Brain McKnight - RG","#59 Daniel Carlson - RT","#66 Carroll Owen - RT",,"#2 Timothy Smith - WLB","#62 Tyson Stinnett - DT","#54 Stephen Smith - LDE","#68 Jonathan Leonard - LDE",,,,,,,
TEX,12:04,"TEX 8",1,1,10,"I Formation Normal HB Blast","4-3 Normal SLB Outside Blitz",7,0,0,"1-10-TEX 8 (12:05) 27-George Gurley ran to TEX 15 for 7 yards. Tackle by 35-Jeremy Williams.","#12 Robert Williams - QB","#27 George Gurley - RB",,,"#40 Christopher Hofmeister - RB","#83 Jason Fields - TE",,"#19 Karl Bledsoe - WR",,"#15 Stephen Powell - WR",,,"#76 Arthur Kiel - LT","#58 David Peoples - LG","#57 Luis Valerio - C","#70 Woodrow Miranda - RG","#53 Kenneth Pettit - RT",,"#58 Robert Bass - FS",,"#94 Larry Sansone - FS","#96 Micheal Parenteau - FS","#65 William Strong - FS","#35 Jeremy Williams - FS","#90 Paul Graham - FS",,"#75 Francisco McRae - FS","#27 Jimmy Brooks - CB","#38 Allen Espinoza - CB",,,,"#91 Mark Goss - CB","#72 Robert Yuan - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEX,11:29,"TEX 15",1,2,3,"I Formation 3WR HB Inside Weak","4-3 Normal Double WR3",-2,0,0,"2-3-TEX 15 (11:28) 27-George Gurley ran to TEX 13 for -2 yards. Tackle by 75-Francisco McRae.","#12 Robert Williams - QB","#27 George Gurley - RB",,,"#40 Christopher Hofmeister - RB",,,"#19 Karl Bledsoe - WR","#16 Manuel Bigelow - WR","#15 Stephen Powell - WR",,,"#76 Arthur Kiel - LT","#58 David Peoples - LG","#57 Luis Valerio - C","#70 Woodrow Miranda - RG","#53 Kenneth Pettit - RT",,"#58 Robert Bass - FS",,"#94 Larry Sansone - FS","#96 Micheal Parenteau - FS","#65 William Strong - FS","#35 Jeremy Williams - FS","#27 Jimmy Brooks - CB",,"#75 Francisco McRae - FS","#30 Ross Depaz - CB","#91 Mark Goss - CB",,,,"#24 Jason Cox - CB","#72 Robert Yuan - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEX,10:54,"TEX 13",1,3,5,"Weak I Normal HB Inside Weak","4-3 Normal Double WR1",-1,0,0,"3-5-TEX 13 (10:53) 27-George Gurley ran to TEX 13 for -1 yards. Tackle by 75-Francisco McRae.","#12 Robert Williams - QB","#27 George Gurley - RB",,,"#40 Christopher Hofmeister - RB","#83 Jason Fields - TE",,"#19 Karl Bledsoe - WR",,"#15 Stephen Powell - WR",,,"#76 Arthur Kiel - LT","#58 David Peoples - LG","#57 Luis Valerio - C","#70 Woodrow Miranda - RG","#53 Kenneth Pettit - RT",,"#58 Robert Bass - FS",,"#94 Larry Sansone - FS","#96 Micheal Parenteau - FS","#65 William Strong - FS","#35 Jeremy Williams - FS","#27 Jimmy Brooks - CB",,"#75 Francisco McRae - FS","#30 Ross Depaz - CB","#91 Mark Goss - CB",,,,"#24 Jason Cox - CB","#72 Robert Yuan - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
